,Full,Sparse,Extremes
0,21.2542724609375,639.5120849609375,14.589799880981445
1,11.107868194580078,163.22874450683594,10.792460441589355
2,8.11514663696289,77.46571350097656,8.732101440429688
3,7.413180351257324,61.90187454223633,9.650113105773926
4,8.23991584777832,60.13865280151367,7.250249862670898
5,7.562387466430664,58.74831771850586,3.6431894302368164
6,7.91806697845459,58.351715087890625,3.0306003093719482
7,7.283621788024902,57.74767303466797,2.735628366470337
8,7.065622806549072,57.168582916259766,3.321120500564575
9,7.535397529602051,56.88829040527344,2.5264546871185303
10,7.236001491546631,56.07947540283203,2.8451054096221924
11,7.7965803146362305,55.489540100097656,2.234069585800171
12,6.961962699890137,58.07118225097656,2.5069737434387207
13,7.327191352844238,56.11802291870117,2.2422783374786377
14,7.029537200927734,53.9301872253418,2.3085381984710693
15,6.933157920837402,53.156959533691406,2.2141706943511963
16,11.031803131103516,56.8057861328125,2.310458183288574
17,7.020419120788574,53.54792022705078,2.4405877590179443
18,6.9178009033203125,51.345741271972656,2.17885684967041
19,6.8071064949035645,51.712947845458984,2.0509748458862305
