MSE_Loss,PDE_Loss,BC_Loss,Data_Loss
1100.67138671875,3.7910676837782376e-06,675.545166015625,425.12628173828125
1100.5936279296875,3.802094624916208e-06,675.4983520507812,425.09527587890625
1100.5150146484375,3.824171471933369e-06,675.4509887695312,425.0639953613281
1100.4365234375,3.860778178932378e-06,675.4039306640625,425.0325927734375
1100.3582763671875,3.907602149411105e-06,675.357177734375,425.0010681152344
1100.280517578125,3.9456290323869325e-06,675.3108520507812,424.9696044921875
1100.2027587890625,3.990588083979674e-06,675.2645874023438,424.9381408691406
1100.12451171875,4.04406046072836e-06,675.218017578125,424.9064636230469
1100.045166015625,4.087253728357609e-06,675.170654296875,424.8745422363281
1099.964599609375,4.134698428970296e-06,675.1222534179688,424.8423156738281
1099.8829345703125,4.1846506064757705e-06,675.0732421875,424.8096618652344
1099.800537109375,4.2360306906630285e-06,675.0238037109375,424.77667236328125
1099.717041015625,4.288843229005579e-06,674.9738159179688,424.7431640625
1099.6324462890625,4.324929705035174e-06,674.9232177734375,424.7091979980469
1099.5469970703125,4.371717750473181e-06,674.8721313476562,424.6748352050781
1099.458740234375,4.417493073560763e-06,674.8186645507812,424.6400146484375
1099.367431640625,4.4805674406234175e-06,674.7628173828125,424.6046142578125
1099.2744140625,4.551476195047144e-06,674.7059326171875,424.5684814453125
1099.1793212890625,4.631430783774704e-06,674.64794921875,424.5313415527344
1099.0823974609375,4.720659944723593e-06,674.5888671875,424.4934997558594
1098.9837646484375,4.810419341083616e-06,674.5288696289062,424.45489501953125
1098.8836669921875,4.948830337525578e-06,674.4680786132812,424.41558837890625
1098.784423828125,5.1023171181441285e-06,674.4086303710938,424.3757629394531
1098.683837890625,5.260500984149985e-06,674.3482666015625,424.33551025390625
1098.5816650390625,5.457550741994055e-06,674.2869262695312,424.29473876953125
1098.478271484375,5.661235718434909e-06,674.2247314453125,424.25347900390625
1098.3734130859375,5.860033525095787e-06,674.1617431640625,424.211669921875
1098.268310546875,6.058849066903349e-06,674.0989379882812,424.1694030761719
1098.16455078125,6.2519115999748465e-06,674.0371704101562,424.12738037109375
1098.061767578125,6.340618256217567e-06,673.9761352539062,424.0856628417969
1097.9598388671875,6.370227765728487e-06,673.916259765625,424.0435791015625
1097.8585205078125,6.387928806361742e-06,673.8572387695312,424.00128173828125
1097.7557373046875,6.432457212213194e-06,673.7973022460938,423.95843505859375
1097.65087890625,6.481559466919862e-06,673.7359008789062,423.9149475097656
1097.5447998046875,6.5439594436611515e-06,673.6736450195312,423.8711242675781
1097.437744140625,6.619557552767219e-06,673.6109008789062,423.826904296875
1097.3299560546875,6.694339845125796e-06,673.5476684570312,423.7823181152344
1097.220947265625,6.752629360562423e-06,673.4835815429688,423.7373352050781
1097.11083984375,6.823423973401077e-06,673.4188232421875,423.69195556640625
1097.00390625,6.841485173936235e-06,673.3577270507812,423.646240234375
1096.8970947265625,6.89127364239539e-06,673.2965087890625,423.6005554199219
1096.7894287109375,6.938261321920436e-06,673.2346801757812,423.5547790527344
1096.6807861328125,6.995852800173452e-06,673.1719360351562,423.5088806152344
1096.571533203125,7.051390184642514e-06,673.1087646484375,423.46270751953125
1096.4610595703125,7.084393473633099e-06,673.0447387695312,423.41632080078125
1096.349609375,7.12959354132181e-06,672.97998046875,423.3696594238281
1096.2369384765625,7.1307827056443784e-06,672.9142456054688,423.3227233886719
1096.122314453125,7.127721346478211e-06,672.8472290039062,423.2751159667969
1096.0052490234375,7.1355771069647744e-06,672.7785034179688,423.2267150878906
1095.8861083984375,7.14167936166632e-06,672.7085571289062,423.1775207519531
1095.76708984375,7.148174972826382e-06,672.6395874023438,423.12750244140625
1095.64794921875,7.192553312052041e-06,672.5707397460938,423.0772705078125
1095.5289306640625,7.32628404875868e-06,672.5015258789062,423.0274353027344
1095.4091796875,7.423061106237583e-06,672.4317016601562,422.97747802734375
1095.2882080078125,7.46843352317228e-06,672.3611450195312,422.9270324707031
1095.1658935546875,7.511564945161808e-06,672.2899169921875,422.8759765625
1095.0421142578125,7.5364291660662275e-06,672.2176513671875,422.8244323730469
1094.91650390625,7.55816063247039e-06,672.1442260742188,422.77227783203125
1094.7890625,7.579028533655219e-06,672.0697021484375,422.71942138671875
1094.659912109375,7.596309842483606e-06,671.9940185546875,422.6659240722656
1094.5303955078125,7.599848231620854e-06,671.9185791015625,422.6117858886719
1094.3990478515625,7.60871580496314e-06,671.8418579101562,422.5571594238281
1094.2615966796875,7.664941222174093e-06,671.7598876953125,422.5017395019531
1094.1212158203125,7.739070497336797e-06,671.6759033203125,422.4453430175781
1093.977783203125,7.826599357940722e-06,671.5899047851562,422.3879089355469
1093.8311767578125,7.905789971118793e-06,671.5018920898438,422.3293151855469
1093.6815185546875,7.972311323101167e-06,671.4120483398438,422.2695007324219
1093.5286865234375,8.03665261628339e-06,671.3202514648438,422.2084655761719
1093.372802734375,8.13036513136467e-06,671.2265625,422.146240234375
1093.213623046875,8.216726200771518e-06,671.1309204101562,422.0826721191406
1093.051025390625,8.297743079310749e-06,671.0331420898438,422.017822265625
1092.8851318359375,8.39918266137829e-06,670.9334716796875,421.95166015625
1092.71875,8.485081707476638e-06,670.83447265625,421.88427734375
1092.55078125,8.5825304267928e-06,670.7349243164062,421.8158264160156
1092.3798828125,8.674049240653403e-06,670.6337280273438,421.7462158203125
1092.206298828125,8.778182746027596e-06,670.5308227539062,421.67547607421875
1092.0302734375,8.864590199664235e-06,670.4268188476562,421.6034240722656
1091.855224609375,8.933910066843964e-06,670.3247680664062,421.53045654296875
1091.6778564453125,8.979915037343744e-06,670.2211303710938,421.4566955566406
1091.5,9.08004312805133e-06,670.1178588867188,421.382080078125
1091.3218994140625,9.130286343861371e-06,670.01513671875,421.3067626953125
1091.1414794921875,9.143202078121249e-06,669.91064453125,421.2308654785156
1090.9586181640625,9.160963600152172e-06,669.8043212890625,421.1542663574219
1090.7728271484375,9.199535270454362e-06,669.696044921875,421.0767517089844
1090.583740234375,9.271766430174466e-06,669.5855712890625,420.9981384277344
1090.391357421875,9.341208169644233e-06,669.4730224609375,420.91839599609375
1090.1956787109375,9.441069778404199e-06,669.3582153320312,420.8374328613281
1089.9964599609375,9.54014467424713e-06,669.2413330078125,420.7550964355469
1089.7923583984375,9.639817108109128e-06,669.1207885742188,420.6715393066406
1089.58251953125,9.744031558511779e-06,668.99609375,420.5864562988281
1089.3685302734375,9.861684702627826e-06,668.868896484375,420.4996337890625
1089.1500244140625,9.985555152525194e-06,668.7389526367188,420.4110412597656
1088.9273681640625,1.0172911970585119e-05,668.6068115234375,420.3205871582031
1088.7008056640625,1.0314845894754399e-05,668.472412109375,420.2283935546875
1088.4696044921875,1.0490477507119067e-05,668.3351440429688,420.1344299316406
1088.23388671875,1.0646849659678992e-05,668.1951293945312,420.0386962890625
1087.9935302734375,1.0784522601170465e-05,668.0523071289062,419.9411926269531
