Average_MSE_Loss,Average_PDE_Loss,Average_BC_Loss,Average_Data_Loss
1101.0871215820312,6.409802025686418e-06,675.8898986816406,425.1972290039063
1101.0337768554687,6.396266664054906e-06,675.8585144042969,425.17527465820314
1100.9801025390625,6.3852593331858994e-06,675.8268310546875,425.1532775878906
1100.9264404296875,6.364794613844538e-06,675.795166015625,425.1312622070312
1100.8727294921875,6.347353208724371e-06,675.7634643554687,425.10926818847656
1100.8192749023438,6.323106486760821e-06,675.7320678710937,425.0872009277344
1100.7659790039063,6.30224033280058e-06,675.7009460449219,425.0650299072266
1100.7125,6.2796938202325235e-06,675.6697143554687,425.04277954101565
1100.6588012695313,6.259761731186586e-06,675.6383117675781,425.02048645019534
1100.6050903320313,6.237448877755014e-06,675.606982421875,424.99810485839845
1100.5517456054688,6.217185582713114e-06,675.5760437011719,424.97569274902344
1100.4988403320312,6.200950392809546e-06,675.5454040527344,424.9534210205078
1100.4455444335938,6.178826926017677e-06,675.5144592285156,424.9310821533203
1100.39208984375,6.162386202035464e-06,675.4834289550781,424.90867004394534
1100.338623046875,6.1519049086911085e-06,675.45244140625,424.8861785888672
1100.2851196289062,6.1418813530167425e-06,675.4214904785156,424.8636169433594
1100.231396484375,6.124168334054048e-06,675.3904296875,424.84096374511716
1100.1774291992188,6.108947578198354e-06,675.3592468261719,424.8181976318359
1100.1233154296874,6.093948869434484e-06,675.327880859375,424.79542236328126
1100.0690551757812,6.079164456451735e-06,675.296435546875,424.77260131835936
1100.0146362304688,6.064458921528626e-06,675.2649475097656,424.7497039794922
1099.9599731445312,6.048892561594244e-06,675.2332641601563,424.72669982910156
1099.9051025390625,6.035477724708471e-06,675.2015014648438,424.70359802246094
1099.8501098632812,6.021145392764993e-06,675.1696533203125,424.6804443359375
1099.7950561523437,6.010900140651642e-06,675.1377746582032,424.65728759765625
1099.7402709960938,6.015706023276834e-06,675.1061157226562,424.63417053222656
1099.6857421875,6.020607069245898e-06,675.0746520996094,424.6110900878906
1099.63125,6.014115392360964e-06,675.0432189941406,424.5880401611328
1099.5767333984375,6.007264689600333e-06,675.0117248535156,424.56500244140625
1099.522119140625,5.9980931823133686e-06,674.9801940917969,424.54192504882815
1099.4674194335937,5.992311532310168e-06,674.9485717773438,424.5188446044922
1099.41240234375,5.987032957222027e-06,674.916650390625,424.4957580566406
1099.3575317382813,5.983584708957323e-06,674.88486328125,424.4726531982422
1099.3027099609376,5.976072062452431e-06,674.85322265625,424.44947509765626
1099.2479736328125,5.965831478960126e-06,674.8217041015625,424.42627868652346
1099.1932495117187,5.9548887556104544e-06,674.7902221679688,424.4030303955078
1099.1384033203126,5.946718873417467e-06,674.7586608886719,424.3797546386719
1099.0832397460938,5.934290258124975e-06,674.7268981933594,424.35634460449216
1099.0276611328125,5.919657156994163e-06,674.6948425292969,424.33282470703125
1098.9721557617188,5.9100858351257555e-06,674.6629943847656,424.3091583251953
1098.9167236328126,5.900734117147977e-06,674.63134765625,424.2853759765625
1098.8612182617187,5.88605401787845e-06,674.5996276855469,424.26157531738284
1098.8053833007812,5.873360132824245e-06,674.5676330566406,424.2377410888672
1098.749365234375,5.859600543089983e-06,674.5354736328125,424.21388244628906
1098.693408203125,5.844251477071794e-06,674.5033996582031,424.1900146484375
1098.6374877929688,5.828639751825904e-06,674.4713195800781,424.1661773681641
1098.5816284179687,5.813896808604113e-06,674.439306640625,424.14232482910154
1098.5259643554687,5.7957186477608506e-06,674.4075134277343,424.11842346191406
1098.4700927734375,5.782032391721259e-06,674.3756652832031,424.09442443847655
1098.4139038085937,5.7668567762902965e-06,674.3435729980469,424.0703491210937
1098.3573364257813,5.7525743919484285e-06,674.3112060546875,424.04612426757814
1098.3004272460937,5.7457489134549174e-06,674.2786315917969,424.0217987060547
1098.2430297851563,5.711563947841114e-06,674.2456176757812,423.99741516113284
1098.1858154296874,5.6745438918426315e-06,674.2127075195312,423.9730926513672
1098.1286010742188,5.6567737367174685e-06,674.1798889160157,423.9487365722656
1098.0713256835938,5.644805760596228e-06,674.1470336914062,423.9242767333984
1098.0136474609376,5.630123979472046e-06,674.1139709472657,423.8996917724609
1097.9555419921876,5.613261107839662e-06,674.0806091308593,423.87493896484375
1097.8969116210938,5.600576691477954e-06,674.0468994140625,423.8500152587891
1097.8377075195312,5.59258679118102e-06,674.0128479003906,423.8248687744141
1097.7780395507812,5.581222884742942e-06,673.9785461425781,423.7994903564453
1097.7178344726562,5.5713749830488265e-06,673.9439453125,423.77390441894534
1097.6571655273438,5.5621799877059175e-06,673.90908203125,423.7480865478516
1097.5957641601562,5.549548395222814e-06,673.8737060546875,423.7220428466797
1097.5330200195312,5.545276756180328e-06,673.8373413085938,423.6957153320312
1097.46982421875,5.54164155985859e-06,673.8007568359375,423.66907653808596
1097.40673828125,5.533961170200996e-06,673.7645446777344,423.64219055175784
1097.3433471679687,5.528769028373404e-06,673.7282775878906,423.6150817871094
1097.279443359375,5.517325001136442e-06,673.6916687011719,423.58775329589844
1097.215380859375,5.511808562985721e-06,673.6551635742187,423.5602142333984
1097.1508422851562,5.5048315886097045e-06,673.6183837890625,423.5324432373047
1097.085546875,5.497626245087872e-06,673.5811096191406,423.5044342041016
1097.0195190429688,5.49121397419583e-06,673.5433471679687,423.4761657714844
1096.9529418945312,5.476585792507649e-06,673.5052673339844,423.44765319824216
1096.8857055664062,5.463973718988768e-06,673.4668029785156,423.4188934326172
1096.8177612304687,5.453554542000916e-06,673.4278442382813,423.38991088867186
1096.748828125,5.444168336765642e-06,673.3882202148437,423.3606231689453
1096.6790161132812,5.436710162953773e-06,673.3479614257812,423.33107299804686
1096.6083862304688,5.422369551055794e-06,673.3072021484375,423.3011932373047
