,K,S,q,r,sigma,t,price
38,52.0,91.1,0.0,0.0559,0.7066863283197075,0.75,3.4351611307393015
39,52.0,91.1,0.0,0.0559,0.7066863283197075,1.0,4.808921880006602
40,52.0,91.1,0.0,0.09999999999999999,0.02776319114275506,0.25,0.0
41,52.0,91.1,0.0,0.09999999999999999,0.02776319114275506,0.5,3.868100983060216e-214
42,52.0,91.1,0.0,0.09999999999999999,0.02776319114275506,0.75,1.4282830306852087e-155
43,52.0,91.1,0.0,0.09999999999999999,0.02776319114275506,1.0,1.3264453902499671e-126
44,52.0,91.1,0.0,0.09999999999999999,0.16424854217092363,0.25,3.7278404564868133e-13
45,52.0,91.1,0.0,0.09999999999999999,0.16424854217092363,0.5,1.0091245548577437e-07
46,52.0,91.1,0.0,0.09999999999999999,0.16424854217092363,0.75,7.590362217140484e-06
47,52.0,91.1,0.0,0.09999999999999999,0.16424854217092363,1.0,6.926789723116614e-05
48,52.0,91.1,0.0,0.09999999999999999,0.26544998329566,0.25,9.534814594880738e-06
49,52.0,91.1,0.0,0.09999999999999999,0.26544998329566,0.5,0.0019031135464198546
50,52.0,91.1,0.0,0.09999999999999999,0.26544998329566,0.75,0.012950569811765407
51,52.0,91.1,0.0,0.09999999999999999,0.26544998329566,1.0,0.035769326817904984
52,52.0,91.1,0.0,0.09999999999999999,0.3874180606791659,0.25,0.004608089060607003
53,52.0,91.1,0.0,0.09999999999999999,0.3874180606791659,0.5,0.08202173003621607
54,52.0,91.1,0.0,0.09999999999999999,0.3874180606791659,0.75,0.246551003771515
55,52.0,91.1,0.0,0.09999999999999999,0.3874180606791659,1.0,0.4513509688357666
56,52.0,91.1,0.0,0.09999999999999999,0.7066863283197075,0.25,0.48102362426227563
57,52.0,91.1,0.0,0.09999999999999999,0.7066863283197075,0.5,1.7603721469839857
58,52.0,91.1,0.0,0.09999999999999999,0.7066863283197075,0.75,3.0453893200396145
59,52.0,91.1,0.0,0.09999999999999999,0.7066863283197075,1.0,4.191314273822634
60,52.0,91.1,0.0,0.1441,0.02776319114275506,0.25,0.0
61,52.0,91.1,0.0,0.1441,0.02776319114275506,0.5,1.268470884959351e-229
62,52.0,91.1,0.0,0.1441,0.02776319114275506,0.75,7.886434367222085e-172
63,52.0,91.1,0.0,0.1441,0.02776319114275506,1.0,1.2366025772209687e-143
64,52.0,91.1,0.0,0.1441,0.16424854217092363,0.25,1.3613262077518065e-13
65,52.0,91.1,0.0,0.1441,0.16424854217092363,0.5,3.385181338842185e-08
66,52.0,91.1,0.0,0.1441,0.16424854217092363,0.75,2.348511402400343e-06
67,52.0,91.1,0.0,0.1441,0.16424854217092363,1.0,1.9827292000182102e-05
68,52.0,91.1,0.0,0.1441,0.26544998329566,0.25,6.336907208505004e-06
69,52.0,91.1,0.0,0.1441,0.26544998329566,0.5,0.001203124888546385
70,52.0,91.1,0.0,0.1441,0.26544998329566,0.75,0.007821218335288026
71,52.0,91.1,0.0,0.1441,0.26544998329566,1.0,0.02069544028804546
72,52.0,91.1,0.0,0.1441,0.3874180606791659,0.25,0.003738279436677863
73,52.0,91.1,0.0,0.1441,0.3874180606791659,0.5,0.06421312175615582
74,52.0,91.1,0.0,0.1441,0.3874180606791659,0.75,0.18702672838596615
75,52.0,91.1,0.0,0.1441,0.3874180606791659,1.0,0.33257434474632314
76,52.0,91.1,0.0,0.1441,0.7066863283197075,0.25,0.4436193378018983
77,52.0,91.1,0.0,0.1441,0.7066863283197075,0.5,1.5877068906210139
78,52.0,91.1,0.0,0.1441,0.7066863283197075,0.75,2.6941706335613835
79,52.0,91.1,0.0,0.1441,0.7066863283197075,1.0,3.643019623047256
80,52.0,91.1,0.0,0.1882,0.02776319114275506,0.25,0.0
81,52.0,91.1,0.0,0.1882,0.02776319114275506,0.5,1.1809196539010352e-245
82,52.0,91.1,0.0,0.1882,0.02776319114275506,0.75,6.595016533265647e-189
83,52.0,91.1,0.0,0.1882,0.02776319114275506,1.0,9.318645193814882e-162
84,52.0,91.1,0.0,0.1882,0.16424854217092363,0.25,4.885341629600781e-14
85,52.0,91.1,0.0,0.1882,0.16424854217092363,0.5,1.0974566826237013e-08
86,52.0,91.1,0.0,0.1882,0.16424854217092363,0.75,6.908590476943125e-07
87,52.0,91.1,0.0,0.1882,0.16424854217092363,1.0,5.309402567603362e-06
88,52.0,91.1,0.0,0.1882,0.26544998329566,0.25,4.1846261394078385e-06
89,52.0,91.1,0.0,0.1882,0.26544998329566,0.5,0.0007512546378628675
90,52.0,91.1,0.0,0.1882,0.26544998329566,0.75,0.004638593135725838
91,52.0,91.1,0.0,0.1882,0.26544998329566,1.0,0.01169227895601376
92,52.0,91.1,0.0,0.1882,0.3874180606791659,0.25,0.0030239818207424486
93,52.0,91.1,0.0,0.1882,0.3874180606791659,0.5,0.04999770952568149
94,52.0,91.1,0.0,0.1882,0.3874180606791659,0.75,0.14074867461913237
95,52.0,91.1,0.0,0.1882,0.3874180606791659,1.0,0.24251356592208978
96,52.0,91.1,0.0,0.1882,0.7066863283197075,0.25,0.4088077082164562
97,52.0,91.1,0.0,0.1882,0.7066863283197075,0.5,1.4298899349314873
98,52.0,91.1,0.0,0.1882,0.7066863283197075,0.75,2.37840279776804
99,52.0,91.1,0.0,0.1882,0.7066863283197075,1.0,3.1576765718159643
100,52.0,91.1,0.0,0.0118,0.02776319114275506,0.25,0.0
101,52.0,91.1,0.0,0.0118,0.02776319114275506,0.5,8.236022492148069e-185
102,52.0,91.1,0.0,0.0118,0.02776319114275506,0.75,1.6308439965706815e-125
103,52.0,91.1,0.0,0.0118,0.02776319114275506,1.0,8.096218472940976e-96
104,52.0,91.1,0.0,0.0118,0.16424854217092363,0.25,2.6531683930372544e-12
105,52.0,91.1,0.0,0.0118,0.16424854217092363,0.5,8.097813524970525e-07
106,52.0,91.1,0.0,0.0118,0.16424854217092363,0.75,6.821745577041577e-05
107,52.0,91.1,0.0,0.0118,0.16424854217092363,1.0,0.0006936632309827813
108,52.0,91.1,0.0,0.0118,0.26544998329566,0.25,2.117620435327387e-05
109,52.0,91.1,0.0,0.0118,0.26544998329566,0.5,0.0045896283430898865
110,52.0,91.1,0.0,0.0118,0.26544998329566,0.75,0.03364820168928101
111,52.0,91.1,0.0,0.0118,0.26544998329566,1.0,0.09959397078991007
112,52.0,91.1,0.0,0.0118,0.3874180606791659,0.25,0.0069422967294891485
113,52.0,91.1,0.0,0.0118,0.3874180606791659,0.5,0.13167246029005372
114,52.0,91.1,0.0,0.0118,0.3874180606791659,0.75,0.41848292425866696
115,52.0,91.1,0.0,0.0118,0.3874180606791659,1.0,0.806140734828062
116,52.0,91.1,0.0,0.0118,0.7066863283197075,0.25,0.5642566975449084
117,52.0,91.1,0.0,0.0118,0.7066863283197075,0.5,2.1547113836868963
118,52.0,91.1,0.0,0.0118,0.7066863283197075,0.75,3.866755642313151
119,52.0,91.1,0.0,0.0118,0.7066863283197075,1.0,5.5026047730930845
120,52.0,91.1,0.0,0.0559,0.02776319114275506,0.25,0.0
121,52.0,91.1,0.0,0.0559,0.02776319114275506,0.5,3.3492573135073224e-199
122,52.0,91.1,0.0,0.0559,0.02776319114275506,0.75,3.919571288605269e-140
123,52.0,91.1,0.0,0.0559,0.02776319114275506,1.0,1.1512980499298593e-110
124,52.0,91.1,0.0,0.0559,0.16424854217092363,0.25,1.003202509661885e-12
125,52.0,91.1,0.0,0.0559,0.16424854217092363,0.5,2.9075222753883515e-07
126,52.0,91.1,0.0,0.0559,0.16424854217092363,0.75,2.3330231590658867e-05
127,52.0,91.1,0.0,0.0559,0.16424854217092363,1.0,0.00022650394785982998
128,52.0,91.1,0.0,0.0559,0.26544998329566,0.25,1.4254998372114351e-05
129,52.0,91.1,0.0,0.0559,0.26544998329566,0.5,0.0029735626833026383
130,52.0,91.1,0.0,0.0559,0.26544998329566,0.75,0.02106176319429262
131,52.0,91.1,0.0,0.0559,0.26544998329566,1.0,0.06038402057278449
132,52.0,91.1,0.0,0.0559,0.3874180606791659,0.25,0.005664089350066572
133,52.0,91.1,0.0,0.0559,0.3874180606791659,0.5,0.10420311728074991
134,52.0,91.1,0.0,0.0559,0.3874180606791659,0.75,0.3224679679214092
135,52.0,91.1,0.0,0.0559,0.3874180606791659,1.0,0.6062737120600848
136,52.0,91.1,0.0,0.0559,0.7066863283197075,0.25,0.5211804122401749
137,52.0,91.1,0.0,0.0559,0.7066863283197075,0.5,1.948988648543744
138,52.0,91.1,0.0,0.0559,0.7066863283197075,0.75,3.4351611307393015
139,52.0,91.1,0.0,0.0559,0.7066863283197075,1.0,4.808921880006602
140,52.0,91.1,0.0,0.09999999999999999,0.02776319114275506,0.25,0.0
141,52.0,91.1,0.0,0.09999999999999999,0.02776319114275506,0.5,3.868100983060216e-214
142,52.0,91.1,0.0,0.09999999999999999,0.02776319114275506,0.75,1.4282830306852087e-155
143,52.0,91.1,0.0,0.09999999999999999,0.02776319114275506,1.0,1.3264453902499671e-126
144,52.0,91.1,0.0,0.09999999999999999,0.16424854217092363,0.25,3.7278404564868133e-13
145,52.0,91.1,0.0,0.09999999999999999,0.16424854217092363,0.5,1.0091245548577437e-07
146,52.0,91.1,0.0,0.09999999999999999,0.16424854217092363,0.75,7.590362217140484e-06
147,52.0,91.1,0.0,0.09999999999999999,0.16424854217092363,1.0,6.926789723116614e-05
148,52.0,91.1,0.0,0.09999999999999999,0.26544998329566,0.25,9.534814594880738e-06
149,52.0,91.1,0.0,0.09999999999999999,0.26544998329566,0.5,0.0019031135464198546
150,52.0,91.1,0.0,0.09999999999999999,0.26544998329566,0.75,0.012950569811765407
151,52.0,91.1,0.0,0.09999999999999999,0.26544998329566,1.0,0.035769326817904984
152,52.0,91.1,0.0,0.09999999999999999,0.3874180606791659,0.25,0.004608089060607003
153,52.0,91.1,0.0,0.09999999999999999,0.3874180606791659,0.5,0.08202173003621607
154,52.0,91.1,0.0,0.09999999999999999,0.3874180606791659,0.75,0.246551003771515
155,52.0,91.1,0.0,0.09999999999999999,0.3874180606791659,1.0,0.4513509688357666
156,52.0,91.1,0.0,0.09999999999999999,0.7066863283197075,0.25,0.48102362426227563
157,52.0,91.1,0.0,0.09999999999999999,0.7066863283197075,0.5,1.7603721469839857
158,52.0,91.1,0.0,0.09999999999999999,0.7066863283197075,0.75,3.0453893200396145
159,52.0,91.1,0.0,0.09999999999999999,0.7066863283197075,1.0,4.191314273822634
160,52.0,91.1,0.0,0.1441,0.02776319114275506,0.25,0.0
161,52.0,91.1,0.0,0.1441,0.02776319114275506,0.5,1.268470884959351e-229
162,52.0,91.1,0.0,0.1441,0.02776319114275506,0.75,7.886434367222085e-172
163,52.0,91.1,0.0,0.1441,0.02776319114275506,1.0,1.2366025772209687e-143
164,52.0,91.1,0.0,0.1441,0.16424854217092363,0.25,1.3613262077518065e-13
165,52.0,91.1,0.0,0.1441,0.16424854217092363,0.5,3.385181338842185e-08
166,52.0,91.1,0.0,0.1441,0.16424854217092363,0.75,2.348511402400343e-06
167,52.0,91.1,0.0,0.1441,0.16424854217092363,1.0,1.9827292000182102e-05
168,52.0,91.1,0.0,0.1441,0.26544998329566,0.25,6.336907208505004e-06
169,52.0,91.1,0.0,0.1441,0.26544998329566,0.5,0.001203124888546385
