K,S,q,r,sigma,t,price,fdm-price
52.0,78.21598305379582,0.0,0.0559,0.3874180606791659,1.0,1.3364787200507815,1.331032344791107
52.0,78.21598305379582,0.0,0.0559,0.7066863283197075,0.25,1.2554091541306562,1.2533823263966912
52.0,78.21598305379582,0.0,0.0559,0.7066863283197075,0.5,3.2539912319537594,3.2441985683310626
52.0,78.21598305379582,0.0,0.0559,0.7066863283197075,0.75,5.00382326652814,4.9885107480958455
52.0,78.21598305379582,0.0,0.0559,0.7066863283197075,1.0,6.505246780425088,6.484583899929483
52.0,78.21598305379582,0.0,0.09999999999999999,0.02776319114275506,0.25,1.1253861788308875e-215,-1.9796688719623923e-14
52.0,78.21598305379582,0.0,0.09999999999999999,0.02776319114275506,0.5,4.377893201777998e-122,-3.233701590953547e-11
52.0,78.21598305379582,0.0,0.09999999999999999,0.02776319114275506,0.75,2.805518160761717e-91,-2.1904242260335846e-09
52.0,78.21598305379582,0.0,0.09999999999999999,0.02776319114275506,1.0,3.395292866935349e-76,-3.987639203407309e-08
52.0,78.21598305379582,0.0,0.09999999999999999,0.16424854217092363,0.25,6.092893313346715e-08,1.0987377228446092e-06
52.0,78.21598305379582,0.0,0.09999999999999999,0.16424854217092363,0.5,6.554441532625782e-05,0.00011309312634147039
52.0,78.21598305379582,0.0,0.09999999999999999,0.16424854217092363,0.75,0.0007637545407078017,0.000871340588109938
52.0,78.21598305379582,0.0,0.09999999999999999,0.16424854217092363,1.0,0.0027106369579813034,0.0027419741773500174
52.0,78.21598305379582,0.0,0.09999999999999999,0.26544998329566,0.25,0.0012161724308565598,0.0017046811075450978
52.0,78.21598305379582,0.0,0.09999999999999999,0.26544998329566,0.5,0.027924965001855373,0.028997281710133122
52.0,78.21598305379582,0.0,0.09999999999999999,0.26544998329566,0.75,0.09035146407314198,0.09036085451606175
52.0,78.21598305379582,0.0,0.09999999999999999,0.26544998329566,1.0,0.1702044989178381,0.16865638374712508
52.0,78.21598305379582,0.0,0.09999999999999999,0.3874180606791659,0.25,0.05350869555860979,0.05581842249291583
52.0,78.21598305379582,0.0,0.09999999999999999,0.3874180606791659,0.5,0.3306239931017068,0.33038814648652
52.0,78.21598305379582,0.0,0.09999999999999999,0.3874180606791659,0.75,0.6842480681226716,0.6806072158541465
52.0,78.21598305379582,0.0,0.09999999999999999,0.3874180606791659,1.0,1.0298904631161145,1.0234028799205546
52.0,78.21598305379582,0.0,0.09999999999999999,0.7066863283197075,0.25,1.1707205744813178,1.1681351019959954
52.0,78.21598305379582,0.0,0.09999999999999999,0.7066863283197075,0.5,2.967841511227546,2.957348291583057
52.0,78.21598305379582,0.0,0.09999999999999999,0.7066863283197075,0.75,4.478084129468562,4.462046307078025
