2900/30000 PDE Loss: 0.60901, BC Loss: 0.10946,                   mse loss: 0.718471, combined loss: 0.08007
2950/30000 PDE Loss: 0.38048, BC Loss: 0.22989,                   mse loss: 0.610364, combined loss: 0.06248
3000/30000 PDE Loss: 0.43602, BC Loss: 0.09281,                   mse loss: 0.528836, combined loss: 0.05970
3050/30000 PDE Loss: 0.30959, BC Loss: 0.07179,                   mse loss: 0.381381, combined loss: 0.02285
3100/30000 PDE Loss: 0.26621, BC Loss: 0.07210,                   mse loss: 0.338303, combined loss: -0.01671
3150/30000 PDE Loss: 0.32229, BC Loss: 0.42527,                   mse loss: 0.747557, combined loss: 0.00213
3200/30000 PDE Loss: 0.33313, BC Loss: 0.09815,                   mse loss: 0.431281, combined loss: 0.02669
3250/30000 PDE Loss: 27.91864, BC Loss: 8317.77246,                   mse loss: 8345.691406, combined loss: 314.51862
3300/30000 PDE Loss: 3.62886, BC Loss: 3.21282,                   mse loss: 6.841675, combined loss: 6.23247
3350/30000 PDE Loss: 6.42605, BC Loss: 14.93787,                   mse loss: 21.363913, combined loss: 4.42985
3400/30000 PDE Loss: 4.29163, BC Loss: 6.41238,                   mse loss: 10.704016, combined loss: 2.99537
3450/30000 PDE Loss: 3.67337, BC Loss: 10.42259,                   mse loss: 14.095963, combined loss: 2.10556
3500/30000 PDE Loss: 0.44850, BC Loss: 0.59153,                   mse loss: 1.040025, combined loss: 0.47968
3550/30000 PDE Loss: 1.79456, BC Loss: 3.33490,                   mse loss: 5.129460, combined loss: -0.61816
3600/30000 PDE Loss: 0.19691, BC Loss: 0.68775,                   mse loss: 0.884660, combined loss: -0.04825
3650/30000 PDE Loss: 0.62785, BC Loss: 0.61844,                   mse loss: 1.246290, combined loss: -0.12794
3700/30000 PDE Loss: 0.22605, BC Loss: 0.21152,                   mse loss: 0.437566, combined loss: 0.20043
3750/30000 PDE Loss: 0.26788, BC Loss: 0.16117,                   mse loss: 0.429050, combined loss: 0.03454
3800/30000 PDE Loss: 0.58463, BC Loss: 0.59763,                   mse loss: 1.182265, combined loss: 0.01549
3850/30000 PDE Loss: 0.33089, BC Loss: 0.62746,                   mse loss: 0.958343, combined loss: 0.01269
3900/30000 PDE Loss: 0.64767, BC Loss: 0.16287,                   mse loss: 0.810540, combined loss: -0.01438
3950/30000 PDE Loss: 0.41446, BC Loss: 0.27624,                   mse loss: 0.690699, combined loss: -0.00819
4000/30000 PDE Loss: 0.31460, BC Loss: 0.11023,                   mse loss: 0.424829, combined loss: 0.05583
4050/30000 PDE Loss: 0.55046, BC Loss: 0.75123,                   mse loss: 1.301684, combined loss: 0.53990
4100/30000 PDE Loss: 0.12195, BC Loss: 0.16652,                   mse loss: 0.288471, combined loss: -0.05057
4150/30000 PDE Loss: 0.05462, BC Loss: 0.04405,                   mse loss: 0.098676, combined loss: -0.00379
