2900/30000 PDE Loss: 0.03560, BC Loss: 0.04040,                   mse loss: 0.076002, combined loss: 243957.89062
2950/30000 PDE Loss: 0.01423, BC Loss: 0.01387,                   mse loss: 0.028101, combined loss: 362260.40625
3000/30000 PDE Loss: 0.01508, BC Loss: 0.01894,                   mse loss: 0.034014, combined loss: 542559.68750
3050/30000 PDE Loss: 0.02034, BC Loss: 0.01569,                   mse loss: 0.036024, combined loss: 1002863.75000
3100/30000 PDE Loss: 0.02548, BC Loss: 0.02175,                   mse loss: 0.047227, combined loss: 2310087.00000
3150/30000 PDE Loss: 0.02013, BC Loss: 0.01894,                   mse loss: 0.039070, combined loss: 6291123.50000
3200/30000 PDE Loss: 0.01594, BC Loss: 0.01288,                   mse loss: 0.028825, combined loss: 15541065.00000
3250/30000 PDE Loss: 0.01257, BC Loss: 0.00933,                   mse loss: 0.021903, combined loss: 18128652.00000
3300/30000 PDE Loss: 0.00949, BC Loss: 0.00768,                   mse loss: 0.017172, combined loss: 20372966.00000
3350/30000 PDE Loss: 0.01805, BC Loss: 0.02010,                   mse loss: 0.038148, combined loss: 22391262.00000
3400/30000 PDE Loss: 0.02744, BC Loss: 0.01040,                   mse loss: 0.037839, combined loss: 23932444.00000
3450/30000 PDE Loss: 0.07444, BC Loss: 0.02611,                   mse loss: 0.100552, combined loss: 26259830.00000
3500/30000 PDE Loss: 0.58038, BC Loss: 0.16836,                   mse loss: 0.748736, combined loss: 27275526.00000
3550/30000 PDE Loss: 1.21447, BC Loss: 0.26078,                   mse loss: 1.475247, combined loss: 32222158.00000
3600/30000 PDE Loss: 3.27010, BC Loss: 4.79846,                   mse loss: 8.068563, combined loss: -84346752.00000
3650/30000 PDE Loss: 1.78024, BC Loss: 5.43037,                   mse loss: 7.210612, combined loss: 474288.00000
3700/30000 PDE Loss: 3.47392, BC Loss: 2.33880,                   mse loss: 5.812716, combined loss: 34355404.00000
3750/30000 PDE Loss: 14.54966, BC Loss: 76.95655,                   mse loss: 91.506210, combined loss: -134758448.00000
3800/30000 PDE Loss: 2.14576, BC Loss: 13.10294,                   mse loss: 15.248706, combined loss: 13305556.00000
3850/30000 PDE Loss: 1.72840, BC Loss: 9.82924,                   mse loss: 11.557640, combined loss: 30263272.00000
3900/30000 PDE Loss: 2.45620, BC Loss: 3.99547,                   mse loss: 6.451664, combined loss: -11768516.00000
3950/30000 PDE Loss: 2.04390, BC Loss: 2.65312,                   mse loss: 4.697018, combined loss: -35276.50000
4000/30000 PDE Loss: 3.92238, BC Loss: 2.20757,                   mse loss: 6.129950, combined loss: 24272196.00000
4050/30000 PDE Loss: 2.32440, BC Loss: 1.68657,                   mse loss: 4.010975, combined loss: -4781781.00000
4100/30000 PDE Loss: 179.48660, BC Loss: 67.62444,                   mse loss: 247.111038, combined loss: -522392960.00000
4150/30000 PDE Loss: 269.74118, BC Loss: 97.26707,                   mse loss: 367.008240, combined loss: 22970480.00000
4200/30000 PDE Loss: 201.62947, BC Loss: 29.11614,                   mse loss: 230.745605, combined loss: 50562264.00000
4250/30000 PDE Loss: 164.29903, BC Loss: 26.00399,                   mse loss: 190.303024, combined loss: 90811392.00000
4300/30000 PDE Loss: 23.08795, BC Loss: 20.11507,                   mse loss: 43.203018, combined loss: 117850120.00000
4350/30000 PDE Loss: 4.37510, BC Loss: 9.21447,                   mse loss: 13.589577, combined loss: 7192270.00000
4400/30000 PDE Loss: 76.35038, BC Loss: 89.15572,                   mse loss: 165.506104, combined loss: -44297272.00000
4450/30000 PDE Loss: 16.76276, BC Loss: 42.84731,                   mse loss: 59.610069, combined loss: 73938344.00000
4500/30000 PDE Loss: 254.57004, BC Loss: 696.16034,                   mse loss: 950.730347, combined loss: -1042395712.00000
4550/30000 PDE Loss: 57.43248, BC Loss: 596.29633,                   mse loss: 653.728821, combined loss: 75515816.00000
4600/30000 PDE Loss: 383.62350, BC Loss: 197.83841,                   mse loss: 581.461914, combined loss: -37864724.00000
4650/30000 PDE Loss: 260.47705, BC Loss: 35.65131,                   mse loss: 296.128357, combined loss: 27639452.00000
4700/30000 PDE Loss: 57.57795, BC Loss: 249.32692,                   mse loss: 306.904877, combined loss: -75862160.00000
4750/30000 PDE Loss: 187.25383, BC Loss: 269.28174,                   mse loss: 456.535583, combined loss: -13506133.00000
4800/30000 PDE Loss: 162.41110, BC Loss: 196.88850,                   mse loss: 359.299622, combined loss: -89820304.00000
4850/30000 PDE Loss: 315.61343, BC Loss: 229.34151,                   mse loss: 544.954956, combined loss: -195712512.00000
4900/30000 PDE Loss: 1068.77014, BC Loss: 619.84674,                   mse loss: 1688.616943, combined loss: -42588320.00000
4950/30000 PDE Loss: 1144.92859, BC Loss: 427.42673,                   mse loss: 1572.355347, combined loss: -179756608.00000
5000/30000 PDE Loss: 302.19464, BC Loss: 17.28427,                   mse loss: 319.478912, combined loss: -52730796.00000
5050/30000 PDE Loss: 1114.09753, BC Loss: 326.30411,                   mse loss: 1440.401611, combined loss: -125486856.00000
5100/30000 PDE Loss: 39277.35547, BC Loss: 41910.82031,                   mse loss: 81188.171875, combined loss: -4185055744.00000
5150/30000 PDE Loss: 628.28070, BC Loss: 298.04337,                   mse loss: 926.324097, combined loss: -585337664.00000
5200/30000 PDE Loss: 314.47156, BC Loss: 292.32697,                   mse loss: 606.798523, combined loss: -203335424.00000
5250/30000 PDE Loss: 632.42432, BC Loss: 702.64374,                   mse loss: 1335.068115, combined loss: 54656172.00000
5300/30000 PDE Loss: 507.21133, BC Loss: 432.63446,                   mse loss: 939.845825, combined loss: 10719368.00000
5350/30000 PDE Loss: 481.08575, BC Loss: 71.91705,                   mse loss: 553.002808, combined loss: -23579146.00000
5400/30000 PDE Loss: 508.42264, BC Loss: 286.53854,                   mse loss: 794.961182, combined loss: -14599854.00000
5450/30000 PDE Loss: 359.86591, BC Loss: 57.85148,                   mse loss: 417.717377, combined loss: 7045158.00000
5500/30000 PDE Loss: 228.60991, BC Loss: 112.60592,                   mse loss: 341.215820, combined loss: 24432262.00000
5550/30000 PDE Loss: 95.36670, BC Loss: 45.44998,                   mse loss: 140.816681, combined loss: 21909750.00000
5600/30000 PDE Loss: 72.17089, BC Loss: 50.31889,                   mse loss: 122.489784, combined loss: -1706249.00000
5650/30000 PDE Loss: 266.14240, BC Loss: 125.42006,                   mse loss: 391.562439, combined loss: 38960332.00000
5700/30000 PDE Loss: 164.47670, BC Loss: 230.09277,                   mse loss: 394.569458, combined loss: -22620256.00000
5750/30000 PDE Loss: 138.19464, BC Loss: 49.40713,                   mse loss: 187.601776, combined loss: 12235484.00000
5800/30000 PDE Loss: 97.99298, BC Loss: 52.99797,                   mse loss: 150.990952, combined loss: 4399013.00000
5850/30000 PDE Loss: 85.10205, BC Loss: 58.75527,                   mse loss: 143.857315, combined loss: -5481891.00000
5900/30000 PDE Loss: 74.73619, BC Loss: 40.90950,                   mse loss: 115.645691, combined loss: -4716277.00000
