2900/30000 PDE Loss: 0.15672, BC Loss: 1.01345,                   mse loss: 1.170168, combined loss: 0.00402
2950/30000 PDE Loss: 0.12410, BC Loss: 1.04786,                   mse loss: 1.171960, combined loss: 0.01155
3000/30000 PDE Loss: 0.07800, BC Loss: 1.17442,                   mse loss: 1.252413, combined loss: 0.01413
3050/30000 PDE Loss: 0.10885, BC Loss: 0.80767,                   mse loss: 0.916525, combined loss: 0.01589
3100/30000 PDE Loss: 0.15212, BC Loss: 0.53916,                   mse loss: 0.691278, combined loss: 0.06493
3150/30000 PDE Loss: 0.18896, BC Loss: 0.77777,                   mse loss: 0.966722, combined loss: 0.05428
3200/30000 PDE Loss: 0.04625, BC Loss: 0.90448,                   mse loss: 0.950730, combined loss: 0.09001
3250/30000 PDE Loss: 0.02727, BC Loss: 0.23690,                   mse loss: 0.264168, combined loss: -0.01774
3300/30000 PDE Loss: 0.01918, BC Loss: 0.19824,                   mse loss: 0.217417, combined loss: -0.00247
3350/30000 PDE Loss: 0.02568, BC Loss: 0.07031,                   mse loss: 0.095996, combined loss: -0.00069
3400/30000 PDE Loss: 0.02488, BC Loss: 0.01173,                   mse loss: 0.036608, combined loss: 0.00191
3450/30000 PDE Loss: 0.01941, BC Loss: 0.00429,                   mse loss: 0.023701, combined loss: 0.00238
3500/30000 PDE Loss: 0.01935, BC Loss: 0.02317,                   mse loss: 0.042524, combined loss: 0.00409
3550/30000 PDE Loss: 0.01603, BC Loss: 0.01306,                   mse loss: 0.029087, combined loss: 0.01347
3600/30000 PDE Loss: 0.01662, BC Loss: 0.01545,                   mse loss: 0.032075, combined loss: 0.01779
3650/30000 PDE Loss: 0.01588, BC Loss: 0.02533,                   mse loss: 0.041204, combined loss: 0.02170
3700/30000 PDE Loss: 0.00982, BC Loss: 0.01494,                   mse loss: 0.024765, combined loss: 0.02070
3750/30000 PDE Loss: 0.00798, BC Loss: 0.00804,                   mse loss: 0.016021, combined loss: 0.01495
3800/30000 PDE Loss: 0.00737, BC Loss: 0.00994,                   mse loss: 0.017310, combined loss: 0.01167
3850/30000 PDE Loss: 0.00873, BC Loss: 0.01328,                   mse loss: 0.022010, combined loss: 0.01327
3900/30000 PDE Loss: 0.00814, BC Loss: 0.02662,                   mse loss: 0.034759, combined loss: 0.01384
3950/30000 PDE Loss: 0.00849, BC Loss: 0.00369,                   mse loss: 0.012184, combined loss: 0.01205
4000/30000 PDE Loss: 0.00918, BC Loss: 0.00440,                   mse loss: 0.013584, combined loss: 0.01314
4050/30000 PDE Loss: 0.00717, BC Loss: 0.00336,                   mse loss: 0.010521, combined loss: 0.01083
4100/30000 PDE Loss: 0.00601, BC Loss: 0.00451,                   mse loss: 0.010520, combined loss: 0.00541
4150/30000 PDE Loss: 0.00492, BC Loss: 0.01944,                   mse loss: 0.024365, combined loss: 0.00417
4200/30000 PDE Loss: 0.00515, BC Loss: 0.01683,                   mse loss: 0.021984, combined loss: 0.00367
4250/30000 PDE Loss: 0.00501, BC Loss: 0.02232,                   mse loss: 0.027327, combined loss: 0.00268
4300/30000 PDE Loss: 0.00547, BC Loss: 0.03050,                   mse loss: 0.035966, combined loss: 0.00247
4350/30000 PDE Loss: 0.00569, BC Loss: 0.03136,                   mse loss: 0.037059, combined loss: 0.00180
4400/30000 PDE Loss: 0.00641, BC Loss: 0.00519,                   mse loss: 0.011596, combined loss: 0.00456
4450/30000 PDE Loss: 0.00555, BC Loss: 0.00422,                   mse loss: 0.009770, combined loss: 0.00438
4500/30000 PDE Loss: 0.00597, BC Loss: 0.00436,                   mse loss: 0.010325, combined loss: 0.00450
4550/30000 PDE Loss: 0.00540, BC Loss: 0.00432,                   mse loss: 0.009722, combined loss: 0.00386
4600/30000 PDE Loss: 0.00503, BC Loss: 0.00412,                   mse loss: 0.009144, combined loss: 0.00378
4650/30000 PDE Loss: 0.00425, BC Loss: 0.00296,                   mse loss: 0.007210, combined loss: 0.00227
4700/30000 PDE Loss: 0.00499, BC Loss: 0.00407,                   mse loss: 0.009052, combined loss: -0.00129
4750/30000 PDE Loss: 0.00483, BC Loss: 0.00274,                   mse loss: 0.007571, combined loss: -0.00144
4800/30000 PDE Loss: 0.00551, BC Loss: 0.00432,                   mse loss: 0.009828, combined loss: -0.00003
4850/30000 PDE Loss: 0.00711, BC Loss: 0.00978,                   mse loss: 0.016893, combined loss: 0.00015
4900/30000 PDE Loss: 0.00672, BC Loss: 0.00693,                   mse loss: 0.013649, combined loss: 0.00017
4950/30000 PDE Loss: 0.00653, BC Loss: 0.00649,                   mse loss: 0.013020, combined loss: 0.00027
5000/30000 PDE Loss: 0.00642, BC Loss: 0.00394,                   mse loss: 0.010358, combined loss: -0.00007
5050/30000 PDE Loss: 0.00936, BC Loss: 0.00360,                   mse loss: 0.012964, combined loss: 0.00035
5100/30000 PDE Loss: 0.00883, BC Loss: 0.00405,                   mse loss: 0.012874, combined loss: 0.00062
5150/30000 PDE Loss: 0.00811, BC Loss: 0.00462,                   mse loss: 0.012730, combined loss: 0.00079
5200/30000 PDE Loss: 0.00623, BC Loss: 0.00350,                   mse loss: 0.009724, combined loss: 0.00078
5250/30000 PDE Loss: 0.00406, BC Loss: 0.00491,                   mse loss: 0.008968, combined loss: 0.00285
5300/30000 PDE Loss: 0.00372, BC Loss: 0.00343,                   mse loss: 0.007150, combined loss: 0.00140
5350/30000 PDE Loss: 0.00414, BC Loss: 0.00200,                   mse loss: 0.006139, combined loss: 0.00171
5400/30000 PDE Loss: 0.00396, BC Loss: 0.00183,                   mse loss: 0.005793, combined loss: 0.00250
5450/30000 PDE Loss: 0.00371, BC Loss: 0.00189,                   mse loss: 0.005598, combined loss: 0.00382
5500/30000 PDE Loss: 0.00421, BC Loss: 0.00505,                   mse loss: 0.009264, combined loss: 0.00284
5550/30000 PDE Loss: 0.00508, BC Loss: 0.00513,                   mse loss: 0.010213, combined loss: 0.00288
5600/30000 PDE Loss: 0.01015, BC Loss: 0.06210,                   mse loss: 0.072254, combined loss: 0.00197
5650/30000 PDE Loss: 0.00811, BC Loss: 0.03209,                   mse loss: 0.040207, combined loss: 0.00264
5700/30000 PDE Loss: 0.00782, BC Loss: 0.02670,                   mse loss: 0.034513, combined loss: 0.00423
5750/30000 PDE Loss: 0.00537, BC Loss: 0.00685,                   mse loss: 0.012223, combined loss: 0.00157
