2950/30000 PDE Loss: 7.76353, BC Loss: 1.44103,                   mse loss: 9.204561, combined loss: -0.00411
3000/30000 PDE Loss: 10.76633, BC Loss: 2.06221,                   mse loss: 12.828538, combined loss: -0.00168
3050/30000 PDE Loss: 11.90771, BC Loss: 2.14292,                   mse loss: 14.050636, combined loss: -0.00659
3100/30000 PDE Loss: 19.73022, BC Loss: 1.82889,                   mse loss: 21.559111, combined loss: -0.00636
3150/30000 PDE Loss: 29.25951, BC Loss: 3.73764,                   mse loss: 32.997150, combined loss: -0.00080
3200/30000 PDE Loss: 13.79354, BC Loss: 2.47925,                   mse loss: 16.272791, combined loss: 0.00312
3250/30000 PDE Loss: 12.32136, BC Loss: 2.61322,                   mse loss: 14.934576, combined loss: -0.00128
3300/30000 PDE Loss: 21.56606, BC Loss: 6.86089,                   mse loss: 28.426949, combined loss: 0.00167
3350/30000 PDE Loss: 13.10878, BC Loss: 7.59829,                   mse loss: 20.707077, combined loss: 0.00043
3400/30000 PDE Loss: 21.57678, BC Loss: 11.66954,                   mse loss: 33.246323, combined loss: -0.00226
3450/30000 PDE Loss: 8.54629, BC Loss: 5.29028,                   mse loss: 13.836565, combined loss: 0.00082
3500/30000 PDE Loss: 13.89213, BC Loss: 3.95192,                   mse loss: 17.844055, combined loss: 0.00019
3550/30000 PDE Loss: 10.01956, BC Loss: 5.17783,                   mse loss: 15.197397, combined loss: 0.00042
3600/30000 PDE Loss: 7.59091, BC Loss: 5.64340,                   mse loss: 13.234304, combined loss: 0.00071
3650/30000 PDE Loss: 11.32914, BC Loss: 4.22516,                   mse loss: 15.554295, combined loss: -0.00181
3700/30000 PDE Loss: 40.71348, BC Loss: 18.80162,                   mse loss: 59.515099, combined loss: 0.01250
3750/30000 PDE Loss: 34.58124, BC Loss: 9.36661,                   mse loss: 43.947845, combined loss: 0.00072
3800/30000 PDE Loss: 80.60593, BC Loss: 25.39631,                   mse loss: 106.002235, combined loss: -0.00173
3850/30000 PDE Loss: 12.34871, BC Loss: 15.66549,                   mse loss: 28.014196, combined loss: -0.00372
3900/30000 PDE Loss: 27.36091, BC Loss: 14.29016,                   mse loss: 41.651062, combined loss: -0.00178
3950/30000 PDE Loss: 63.15569, BC Loss: 57.76913,                   mse loss: 120.924820, combined loss: -0.00294
4000/30000 PDE Loss: 54.61367, BC Loss: 132.69254,                   mse loss: 187.306213, combined loss: -0.00928
4050/30000 PDE Loss: 98.06783, BC Loss: 18.77467,                   mse loss: 116.842491, combined loss: -0.00093
4100/30000 PDE Loss: 124.42495, BC Loss: 46.63215,                   mse loss: 171.057098, combined loss: -0.00260
4150/30000 PDE Loss: 175.54576, BC Loss: 30.76118,                   mse loss: 206.306946, combined loss: -0.00189
4200/30000 PDE Loss: 244.92728, BC Loss: 39.48623,                   mse loss: 284.413513, combined loss: -0.00124
4250/30000 PDE Loss: 112.95047, BC Loss: 18.18068,                   mse loss: 131.131149, combined loss: -0.00056
4300/30000 PDE Loss: 114.79311, BC Loss: 20.67188,                   mse loss: 135.464996, combined loss: -0.00100
4350/30000 PDE Loss: 10.63960, BC Loss: 6.24450,                   mse loss: 16.884098, combined loss: 0.00015
4400/30000 PDE Loss: 14.42645, BC Loss: 7.26456,                   mse loss: 21.691017, combined loss: -0.00025
4450/30000 PDE Loss: 18.39824, BC Loss: 12.17160,                   mse loss: 30.569847, combined loss: -0.00122
4500/30000 PDE Loss: 12.22913, BC Loss: 8.91893,                   mse loss: 21.148060, combined loss: -0.00194
4550/30000 PDE Loss: 19.31631, BC Loss: 6.30829,                   mse loss: 25.624601, combined loss: 0.00193
4600/30000 PDE Loss: 24.30355, BC Loss: 14.58203,                   mse loss: 38.885582, combined loss: 0.00161
4650/30000 PDE Loss: 14.30328, BC Loss: 5.86674,                   mse loss: 20.170029, combined loss: -0.00006
4700/30000 PDE Loss: 11.66572, BC Loss: 38.22021,                   mse loss: 49.885929, combined loss: -0.00774
4750/30000 PDE Loss: 9.73915, BC Loss: 5.53878,                   mse loss: 15.277931, combined loss: -0.00068
4800/30000 PDE Loss: 10.24908, BC Loss: 6.43092,                   mse loss: 16.680000, combined loss: -0.00147
4850/30000 PDE Loss: 8.81671, BC Loss: 4.69498,                   mse loss: 13.511694, combined loss: -0.00101
4900/30000 PDE Loss: 10.83891, BC Loss: 6.45587,                   mse loss: 17.294781, combined loss: -0.00113
4950/30000 PDE Loss: 16.45483, BC Loss: 9.24212,                   mse loss: 25.696957, combined loss: -0.00081
5000/30000 PDE Loss: 18.12448, BC Loss: 13.23013,                   mse loss: 31.354612, combined loss: 0.00176
