24500/60000 PDE Loss: 4.11797, BVP1 Loss: 1647.18738, BVP2 Loss: 2540.34326, IVP Loss: 994.91040,
25000/60000 PDE Loss: 4.12353, BVP1 Loss: 1649.40710, BVP2 Loss: 2537.94092, IVP Loss: 982.19067,
25500/60000 PDE Loss: 4.16101, BVP1 Loss: 1664.40247, BVP2 Loss: 2518.55127, IVP Loss: 982.94031,
26000/60000 PDE Loss: 4.12844, BVP1 Loss: 1651.37488, BVP2 Loss: 2536.11841, IVP Loss: 981.30280,
26500/60000 PDE Loss: 4.14551, BVP1 Loss: 1658.20398, BVP2 Loss: 2526.19092, IVP Loss: 999.78082,
27000/60000 PDE Loss: 4.12439, BVP1 Loss: 1649.75378, BVP2 Loss: 2536.87842, IVP Loss: 976.69098,
27500/60000 PDE Loss: 4.14895, BVP1 Loss: 1659.57886, BVP2 Loss: 2526.16406, IVP Loss: 985.38940,
28000/60000 PDE Loss: 4.11644, BVP1 Loss: 1646.57715, BVP2 Loss: 2540.85815, IVP Loss: 979.77917,
28500/60000 PDE Loss: 4.12250, BVP1 Loss: 1648.99902, BVP2 Loss: 2537.82520, IVP Loss: 969.47638,
29000/60000 PDE Loss: 4.10266, BVP1 Loss: 1641.06262, BVP2 Loss: 2546.02881, IVP Loss: 979.19659,
29500/60000 PDE Loss: 4.16195, BVP1 Loss: 1664.78137, BVP2 Loss: 2518.31812, IVP Loss: 998.42859,
30000/60000 PDE Loss: 4.12780, BVP1 Loss: 1651.12134, BVP2 Loss: 2535.53491, IVP Loss: 990.98102,
30500/60000 PDE Loss: 4.12905, BVP1 Loss: 1651.62183, BVP2 Loss: 2534.54370, IVP Loss: 1005.85199,
31000/60000 PDE Loss: 4.11943, BVP1 Loss: 1647.76880, BVP2 Loss: 2538.38550, IVP Loss: 988.61603,
31500/60000 PDE Loss: 4.14435, BVP1 Loss: 1657.73743, BVP2 Loss: 2526.77393, IVP Loss: 972.74982,
32000/60000 PDE Loss: 4.14893, BVP1 Loss: 1659.57434, BVP2 Loss: 2525.34521, IVP Loss: 975.68799,
