,0
0,1103.0325927734375
1,1102.9765625
2,1102.9212646484375
3,1102.8677978515625
4,1102.8160400390625
5,1102.76513671875
6,1102.7144775390625
7,1102.66162109375
8,1102.607177734375
9,1102.552001953125
10,1102.4964599609375
11,1102.4453125
12,1102.394775390625
13,1102.3436279296875
14,1102.291748046875
15,1102.240234375
16,1102.188232421875
17,1102.135498046875
18,1102.0823974609375
19,1102.0296630859375
20,1101.9761962890625
21,1101.92236328125
22,1101.8682861328125
23,1101.8135986328125
24,1101.7587890625
25,1101.703369140625
26,1101.64697265625
27,1101.5899658203125
28,1101.531982421875
29,1101.4737548828125
30,1101.4166259765625
31,1101.35888671875
32,1101.3006591796875
33,1101.24169921875
34,1101.181884765625
35,1101.1214599609375
36,1101.0601806640625
37,1100.99853515625
38,1100.9365234375
39,1100.8739013671875
40,1100.810302734375
41,1100.745849609375
42,1100.68115234375
43,1100.615966796875
44,1100.550048828125
45,1100.4840087890625
46,1100.4169921875
47,1100.3489990234375
48,1100.280029296875
49,1100.2103271484375
50,1100.14013671875
51,1100.0703125
52,1099.999755859375
53,1099.929443359375
54,1099.86181640625
55,1099.79345703125
56,1099.7244873046875
57,1099.6544189453125
58,1099.58349609375
59,1099.5113525390625
60,1099.4383544921875
61,1099.3648681640625
62,1099.29052734375
63,1099.21533203125
64,1099.138916015625
65,1099.0614013671875
66,1098.982666015625
67,1098.9027099609375
68,1098.8214111328125
69,1098.7376708984375
70,1098.65234375
71,1098.5654296875
72,1098.4766845703125
73,1098.387451171875
74,1098.296875
75,1098.20458984375
76,1098.1094970703125
77,1098.01318359375
78,1097.916015625
79,1097.816650390625
80,1097.7144775390625
81,1097.60986328125
82,1097.5029296875
83,1097.3956298828125
84,1097.29296875
85,1097.189697265625
86,1097.085205078125
87,1096.9793701171875
88,1096.87158203125
89,1096.7615966796875
90,1096.64892578125
91,1096.538330078125
92,1096.4266357421875
93,1096.312744140625
94,1096.19677734375
95,1096.078857421875
96,1095.9588623046875
97,1095.83642578125
98,1095.7115478515625
99,1095.584228515625
100,1095.4559326171875
101,1095.3271484375
102,1095.193603515625
103,1095.05517578125
104,1094.9132080078125
105,1094.7666015625
106,1094.61572265625
107,1094.4600830078125
108,1094.300048828125
109,1094.135498046875
110,1093.96630859375
111,1093.7930908203125
112,1093.615966796875
113,1093.4345703125
114,1093.2486572265625
115,1093.057861328125
116,1092.8623046875
117,1092.6614990234375
118,1092.452880859375
119,1092.2318115234375
120,1092.001708984375
121,1091.764892578125
122,1091.5252685546875
123,1091.2781982421875
124,1091.02294921875
125,1090.759033203125
126,1090.486572265625
127,1090.20556640625
128,1089.91650390625
129,1089.619384765625
130,1089.314208984375
131,1089.0
132,1088.6812744140625
133,1088.355224609375
134,1088.0201416015625
135,1087.6763916015625
136,1087.323486328125
137,1086.9610595703125
138,1086.5885009765625
139,1086.205810546875
140,1085.8126220703125
141,1085.40869140625
142,1084.9945068359375
143,1084.5704345703125
144,1084.1358642578125
145,1083.690185546875
146,1083.2335205078125
147,1082.765380859375
148,1082.2847900390625
149,1081.79541015625
150,1081.29931640625
151,1080.791748046875
152,1080.2723388671875
153,1079.740478515625
154,1079.195556640625
155,1078.6373291015625
156,1078.067138671875
157,1077.48828125
158,1076.897216796875
159,1076.292236328125
160,1075.6729736328125
161,1075.038818359375
162,1074.38330078125
163,1073.70166015625
164,1072.99853515625
165,1072.2713623046875
166,1071.513427734375
167,1070.729248046875
168,1069.9189453125
169,1069.0830078125
170,1068.2237548828125
171,1067.341064453125
172,1066.43212890625
173,1065.49609375
174,1064.5325927734375
175,1063.540283203125
176,1062.5206298828125
177,1061.474365234375
178,1060.401123046875
179,1059.29931640625
180,1058.1680908203125
181,1057.007568359375
182,1055.8173828125
183,1054.59716796875
184,1053.34765625
185,1052.071044921875
186,1050.760986328125
187,1049.4190673828125
188,1048.0443115234375
189,1046.6357421875
190,1045.192626953125
191,1043.7144775390625
192,1042.20068359375
193,1040.6502685546875
194,1039.061279296875
195,1037.432861328125
196,1035.76611328125
197,1034.0596923828125
198,1032.3134765625
199,1030.52685546875
200,1028.6983642578125
201,1026.827880859375
202,1024.9144287109375
203,1022.95703125
204,1020.9541015625
205,1018.9061889648438
206,1016.8111572265625
207,1014.6688232421875
208,1012.4781494140625
209,1010.23779296875
210,1007.9466552734375
211,1005.60498046875
212,1003.2095947265625
213,1000.76171875
214,998.259521484375
215,995.7055053710938
216,993.1021728515625
217,990.439208984375
218,987.7158203125
219,984.9312133789062
220,982.0863037109375
221,979.175537109375
222,976.2019653320312
223,973.168212890625
224,970.071044921875
225,966.906005859375
226,963.6729125976562
227,960.3761596679688
228,957.000732421875
229,953.5567016601562
230,950.0377197265625
231,946.4423828125
232,942.771240234375
233,939.0220947265625
234,935.19775390625
235,931.299560546875
236,927.3196411132812
237,923.256103515625
238,919.108642578125
239,914.882568359375
240,910.5733642578125
241,906.18408203125
242,901.7088623046875
243,897.1512451171875
244,892.5125732421875
245,887.78759765625
246,882.9728393554688
247,878.06689453125
248,873.0655517578125
249,867.9678344726562
250,862.7755126953125
251,857.4815673828125
252,852.093994140625
253,846.6043701171875
254,841.0100708007812
255,835.3101806640625
256,829.5034790039062
257,823.5872802734375
258,817.55908203125
259,811.4219970703125
260,805.1751708984375
261,798.815673828125
262,792.344970703125
263,785.7615356445312
264,779.060546875
265,772.2440185546875
266,765.3116455078125
267,758.2568969726562
268,751.0921630859375
269,743.8175048828125
270,736.4332275390625
271,728.9383544921875
272,721.3306884765625
273,713.606201171875
274,705.762939453125
275,697.802001953125
276,689.7251586914062
277,681.524658203125
278,673.21142578125
279,664.779541015625
280,656.2310791015625
281,647.5660400390625
282,638.7885131835938
283,629.8972778320312
284,620.892822265625
285,611.7771606445312
286,602.5517578125
287,593.2200927734375
288,583.7828369140625
289,574.24267578125
290,564.5991821289062
291,554.859375
292,545.0234375
293,535.09716796875
294,525.0796508789062
295,514.978759765625
296,504.7959289550781
297,494.53741455078125
298,484.20635986328125
299,473.81396484375
300,463.3648681640625
301,452.8622131347656
302,442.3034973144531
303,431.70166015625
304,421.0614318847656
305,410.38897705078125
306,399.68896484375
307,388.97137451171875
308,378.2420959472656
309,367.50836181640625
310,356.778564453125
311,346.0614013671875
312,335.36627197265625
313,324.7002258300781
314,314.0755615234375
315,303.49920654296875
316,292.98529052734375
317,282.53802490234375
318,272.1729431152344
319,261.89837646484375
320,251.724609375
321,241.6622772216797
322,231.72293090820312
323,221.9178466796875
324,212.25967407226562
325,202.758056640625
326,193.42428588867188
327,184.2705535888672
328,175.30641174316406
329,166.5438232421875
330,157.9942169189453
331,149.67420959472656
332,141.61459350585938
333,133.80470275878906
334,126.24308776855469
335,118.9334945678711
336,111.88414764404297
337,105.10301971435547
338,98.59737396240234
339,92.37362670898438
340,86.43579864501953
341,80.7907485961914
342,75.4378433227539
343,70.3896484375
344,65.64340209960938
345,61.1916618347168
346,57.03593063354492
347,53.167449951171875
348,49.58054733276367
349,46.2685661315918
350,43.22608947753906
351,40.446876525878906
352,37.92132568359375
353,35.640228271484375
354,33.588172912597656
355,31.757802963256836
356,30.137989044189453
357,28.71575927734375
358,27.47958755493164
359,26.40753173828125
360,25.487123489379883
361,24.710506439208984
362,24.054195404052734
363,23.517292022705078
364,23.083261489868164
365,22.73575782775879
366,22.464561462402344
367,22.256427764892578
368,22.100473403930664
369,21.991458892822266
370,21.917688369750977
371,21.87093734741211
372,21.844148635864258
373,21.831802368164062
374,21.83160400390625
375,21.839635848999023
376,21.847110748291016
377,21.85094451904297
378,21.849729537963867
379,21.84290313720703
380,21.83087921142578
381,21.814579010009766
382,21.795063018798828
383,21.77356719970703
384,21.751203536987305
385,21.728883743286133
386,21.706607818603516
387,21.682941436767578
388,21.66507911682129
389,21.651718139648438
390,21.640398025512695
391,21.630138397216797
392,21.61968994140625
393,21.608665466308594
394,21.602733612060547
395,21.59737777709961
396,21.59075164794922
397,21.582679748535156
398,21.57320785522461
399,21.56259536743164
400,21.551204681396484
401,21.539398193359375
402,21.52758026123047
403,21.516050338745117
404,21.50501823425293
405,21.494630813598633
406,21.48488998413086
407,21.475706100463867
408,21.466964721679688
409,21.458467483520508
410,21.450054168701172
411,21.4415340423584
412,21.432796478271484
413,21.423748016357422
414,21.414342880249023
415,21.404603958129883
416,21.394554138183594
417,21.384241104125977
418,21.373695373535156
419,21.362972259521484
420,21.352027893066406
421,21.340803146362305
422,21.329240798950195
423,21.31713104248047
424,21.304180145263672
425,21.290027618408203
426,21.274152755737305
427,21.255367279052734
428,21.233325958251953
429,21.218534469604492
430,21.206546783447266
431,21.193603515625
432,21.17945098876953
433,21.16382598876953
434,21.146387100219727
435,21.126720428466797
436,21.104761123657227
437,21.08251190185547
438,21.066652297973633
439,21.049394607543945
440,21.029916763305664
441,21.015892028808594
442,21.00481414794922
443,20.994245529174805
444,20.983556747436523
445,20.972761154174805
446,20.961946487426758
447,20.951086044311523
448,20.940162658691406
449,20.929189682006836
450,20.91813850402832
451,20.907007217407227
452,20.895763397216797
453,20.88442039489746
454,20.872928619384766
455,20.861204147338867
456,20.84935188293457
457,20.837295532226562
458,20.825000762939453
459,20.81239128112793
460,20.799423217773438
461,20.786069869995117
462,20.772212982177734
463,20.75768280029297
464,20.742305755615234
465,20.72585678100586
466,20.708019256591797
467,20.688518524169922
468,20.666614532470703
469,20.641307830810547
470,20.611387252807617
471,20.57765007019043
472,20.555789947509766
473,20.543840408325195
474,20.5318603515625
475,20.519704818725586
476,20.507400512695312
477,20.494962692260742
478,20.482898712158203
479,20.469757080078125
480,20.457210540771484
481,20.444324493408203
482,20.431583404541016
483,20.418804168701172
