25000/60000 PDE Loss: 0.15886, BVP1 Loss: 0.00000, BVP2 Loss: 0.06972, IVP Loss: 0.01192,
25500/60000 PDE Loss: 0.10739, BVP1 Loss: 0.00001, BVP2 Loss: 0.04018, IVP Loss: 0.00773,
26000/60000 PDE Loss: 0.06369, BVP1 Loss: 0.00000, BVP2 Loss: 0.02670, IVP Loss: 0.00835,
26500/60000 PDE Loss: 0.03957, BVP1 Loss: 0.00000, BVP2 Loss: 0.01779, IVP Loss: 0.00582,
27000/60000 PDE Loss: 0.16564, BVP1 Loss: 0.00000, BVP2 Loss: 0.40743, IVP Loss: 0.03111,
27500/60000 PDE Loss: 0.08827, BVP1 Loss: 0.00000, BVP2 Loss: 0.08946, IVP Loss: 0.01379,
28000/60000 PDE Loss: 0.04693, BVP1 Loss: 0.00000, BVP2 Loss: 0.03667, IVP Loss: 0.00928,
28500/60000 PDE Loss: 0.03892, BVP1 Loss: 0.00000, BVP2 Loss: 0.01665, IVP Loss: 0.00808,
29000/60000 PDE Loss: 0.02988, BVP1 Loss: 0.00001, BVP2 Loss: 0.00811, IVP Loss: 0.00759,
29500/60000 PDE Loss: 0.02549, BVP1 Loss: 0.00000, BVP2 Loss: 0.00454, IVP Loss: 0.00587,
30000/60000 PDE Loss: 0.01555, BVP1 Loss: 0.00000, BVP2 Loss: 0.00168, IVP Loss: 0.00683,
30500/60000 PDE Loss: 0.01446, BVP1 Loss: 0.00000, BVP2 Loss: 0.00024, IVP Loss: 0.00555,
31000/60000 PDE Loss: 0.01252, BVP1 Loss: 0.00000, BVP2 Loss: 0.00016, IVP Loss: 0.00591,
31500/60000 PDE Loss: 0.01149, BVP1 Loss: 0.00000, BVP2 Loss: 0.00010, IVP Loss: 0.00593,
32000/60000 PDE Loss: 0.00841, BVP1 Loss: 0.00000, BVP2 Loss: 0.00009, IVP Loss: 0.00462,
32500/60000 PDE Loss: 0.00943, BVP1 Loss: 0.00000, BVP2 Loss: 0.00011, IVP Loss: 0.00483,
33000/60000 PDE Loss: 0.00812, BVP1 Loss: 0.00000, BVP2 Loss: 0.00006, IVP Loss: 0.00517,
33500/60000 PDE Loss: 0.00905, BVP1 Loss: 0.00000, BVP2 Loss: 0.00004, IVP Loss: 0.00656,
34000/60000 PDE Loss: 0.00779, BVP1 Loss: 0.00000, BVP2 Loss: 0.00004, IVP Loss: 0.00391,
34500/60000 PDE Loss: 0.00753, BVP1 Loss: 0.00000, BVP2 Loss: 0.00020, IVP Loss: 0.00492,
35000/60000 PDE Loss: 0.00542, BVP1 Loss: 0.00000, BVP2 Loss: 0.00002, IVP Loss: 0.00530,
35500/60000 PDE Loss: 0.00707, BVP1 Loss: 0.00000, BVP2 Loss: 0.00013, IVP Loss: 0.00537,
36000/60000 PDE Loss: 0.00539, BVP1 Loss: 0.00001, BVP2 Loss: 0.00007, IVP Loss: 0.00346,
36500/60000 PDE Loss: 0.00517, BVP1 Loss: 0.00000, BVP2 Loss: 0.00003, IVP Loss: 0.00580,
37000/60000 PDE Loss: 0.00426, BVP1 Loss: 0.00000, BVP2 Loss: 0.00015, IVP Loss: 0.00510,
37500/60000 PDE Loss: 0.01128, BVP1 Loss: 0.00000, BVP2 Loss: 0.00020, IVP Loss: 0.00567,
38000/60000 PDE Loss: 0.00398, BVP1 Loss: 0.00000, BVP2 Loss: 0.00003, IVP Loss: 0.00521,
38500/60000 PDE Loss: 0.00326, BVP1 Loss: 0.00000, BVP2 Loss: 0.00020, IVP Loss: 0.00559,
39000/60000 PDE Loss: 0.00332, BVP1 Loss: 0.00000, BVP2 Loss: 0.00027, IVP Loss: 0.00418,
39500/60000 PDE Loss: 0.00414, BVP1 Loss: 0.00002, BVP2 Loss: 0.00001, IVP Loss: 0.00437,
40000/60000 PDE Loss: 0.00352, BVP1 Loss: 0.00000, BVP2 Loss: 0.00003, IVP Loss: 0.00484,
40500/60000 PDE Loss: 0.00345, BVP1 Loss: 0.00000, BVP2 Loss: 0.00043, IVP Loss: 0.00409,
41000/60000 PDE Loss: 0.00383, BVP1 Loss: 0.00000, BVP2 Loss: 0.00001, IVP Loss: 0.00482,
41500/60000 PDE Loss: 0.00262, BVP1 Loss: 0.00000, BVP2 Loss: 0.00010, IVP Loss: 0.00508,
42000/60000 PDE Loss: 0.00311, BVP1 Loss: 0.00000, BVP2 Loss: 0.00001, IVP Loss: 0.00426,
42500/60000 PDE Loss: 0.00251, BVP1 Loss: 0.00001, BVP2 Loss: 0.00001, IVP Loss: 0.00460,
43000/60000 PDE Loss: 0.00241, BVP1 Loss: 0.00000, BVP2 Loss: 0.00002, IVP Loss: 0.00485,
43500/60000 PDE Loss: 0.00284, BVP1 Loss: 0.00002, BVP2 Loss: 0.00003, IVP Loss: 0.00376,
44000/60000 PDE Loss: 0.00253, BVP1 Loss: 0.00000, BVP2 Loss: 0.00068, IVP Loss: 0.00627,
44500/60000 PDE Loss: 0.00231, BVP1 Loss: 0.00000, BVP2 Loss: 0.00000, IVP Loss: 0.00426,
45000/60000 PDE Loss: 0.00282, BVP1 Loss: 0.00000, BVP2 Loss: 0.00045, IVP Loss: 0.00464,
45500/60000 PDE Loss: 0.00233, BVP1 Loss: 0.00000, BVP2 Loss: 0.00000, IVP Loss: 0.00372,
46000/60000 PDE Loss: 0.00225, BVP1 Loss: 0.00000, BVP2 Loss: 0.00007, IVP Loss: 0.00352,
46500/60000 PDE Loss: 0.00250, BVP1 Loss: 0.00000, BVP2 Loss: 0.00001, IVP Loss: 0.00600,
47000/60000 PDE Loss: 0.00447, BVP1 Loss: 0.00001, BVP2 Loss: 0.00010, IVP Loss: 0.00367,
47500/60000 PDE Loss: 0.00235, BVP1 Loss: 0.00000, BVP2 Loss: 0.00004, IVP Loss: 0.00461,
48000/60000 PDE Loss: 0.00296, BVP1 Loss: 0.00000, BVP2 Loss: 0.00015, IVP Loss: 0.00370,
48500/60000 PDE Loss: 0.00397, BVP1 Loss: 0.00001, BVP2 Loss: 0.00018, IVP Loss: 0.00394,
