True
cuda
total: 25756696576, reserved: 0, free: 0
FeedforwardNeuralNetwork(
  (layers): ModuleList(
    (0): Linear(in_features=2, out_features=50, bias=True)
    (1-3): 3 x Linear(in_features=50, out_features=50, bias=True)
  )
  (output): Linear(in_features=50, out_features=1, bias=True)
  (relu): ReLU()
)
DGMCell(
  (sig_act): Tanh()
  (Sw): Linear(in_features=2, out_features=50, bias=True)
  (Uz): Linear(in_features=2, out_features=50, bias=True)
  (Wsz): Linear(in_features=50, out_features=50, bias=True)
  (Ug): Linear(in_features=2, out_features=50, bias=True)
  (Wsg): Linear(in_features=50, out_features=50, bias=True)
  (Ur): Linear(in_features=2, out_features=50, bias=True)
  (Wsr): Linear(in_features=50, out_features=50, bias=True)
  (Uh): Linear(in_features=2, out_features=50, bias=True)
  (Wsh): Linear(in_features=50, out_features=50, bias=True)
  (Wf): Linear(in_features=50, out_features=1, bias=True)
)
Discriminator(
  (map): Sequential(
    (0): Linear(in_features=2, out_features=50, bias=True)
    (1): ReLU()
    (2): Linear(in_features=50, out_features=50, bias=True)
    (3): ReLU()
    (4): Linear(in_features=50, out_features=50, bias=True)
    (5): ReLU()
    (6): Linear(in_features=50, out_features=50, bias=True)
    (7): ReLU()
    (8): Linear(in_features=50, out_features=2, bias=True)
  )
)
39500/60001 PDE Loss: 0.00001, BC Loss: 8333.59766
40000/60001 PDE Loss: 0.00001, BC Loss: 8333.61230
40500/60001 PDE Loss: 0.00001, BC Loss: 8333.62500
41000/60001 PDE Loss: 0.00001, BC Loss: 8333.63477
41500/60001 PDE Loss: 0.00001, BC Loss: 8333.64844
42000/60001 PDE Loss: 0.00001, BC Loss: 8333.66113
42500/60001 PDE Loss: 0.00001, BC Loss: 8333.67090
43000/60001 PDE Loss: 0.00001, BC Loss: 8333.68359
43500/60001 PDE Loss: 0.00001, BC Loss: 8333.69434
44000/60001 PDE Loss: 0.00001, BC Loss: 8333.70508
44500/60001 PDE Loss: 0.00001, BC Loss: 8333.71484
45000/60001 PDE Loss: 0.00001, BC Loss: 8333.72363
45500/60001 PDE Loss: 0.00001, BC Loss: 8333.73438
46000/60001 PDE Loss: 0.00001, BC Loss: 8333.74316
46500/60001 PDE Loss: 0.00001, BC Loss: 8333.75391
47000/60001 PDE Loss: 0.00001, BC Loss: 8333.76465
47500/60001 PDE Loss: 0.00001, BC Loss: 8333.77539
48000/60001 PDE Loss: 0.00001, BC Loss: 8333.78418
48500/60001 PDE Loss: 0.00001, BC Loss: 8333.79395
49000/60001 PDE Loss: 0.00001, BC Loss: 8333.80176
49500/60001 PDE Loss: 0.00001, BC Loss: 8333.80957
50000/60001 PDE Loss: 0.00001, BC Loss: 8333.81836
50500/60001 PDE Loss: 0.00001, BC Loss: 8333.82617
51000/60001 PDE Loss: 0.00001, BC Loss: 8333.83496
51500/60001 PDE Loss: 0.00001, BC Loss: 8333.84180
52000/60001 PDE Loss: 0.00001, BC Loss: 8333.85059
52500/60001 PDE Loss: 0.00001, BC Loss: 8333.85840
53000/60001 PDE Loss: 0.00001, BC Loss: 8333.86523
53500/60001 PDE Loss: 0.00001, BC Loss: 8333.87305
54000/60001 PDE Loss: 0.00001, BC Loss: 8333.87988
54500/60001 PDE Loss: 0.00001, BC Loss: 8333.88477
55000/60001 PDE Loss: 0.00000, BC Loss: 8333.89062
55500/60001 PDE Loss: 0.00000, BC Loss: 8333.89648
56000/60001 PDE Loss: 0.00000, BC Loss: 8333.90137
56500/60001 PDE Loss: 0.00000, BC Loss: 8333.90918
57000/60001 PDE Loss: 0.00000, BC Loss: 8333.91699
57500/60001 PDE Loss: 0.00000, BC Loss: 8333.92285
58000/60001 PDE Loss: 0.00000, BC Loss: 8333.92871
58500/60001 PDE Loss: 0.00000, BC Loss: 8333.93457
59000/60001 PDE Loss: 0.00000, BC Loss: 8333.93945
59500/60001 PDE Loss: 0.00000, BC Loss: 8333.94922
60000/60001 PDE Loss: 0.00000, BC Loss: 8333.95508
finish
