MSE_Loss,PDE_Loss,BC_Loss,Data_Loss
1092.3211669921875,1.0988999747496564e-05,671.142822265625,421.1783142089844
1092.2744140625,1.0983392712660134e-05,671.1162719726562,421.1580810546875
1092.228271484375,1.0996002856700215e-05,671.0902709960938,421.1380310058594
1092.1827392578125,1.100353074434679e-05,671.0645141601562,421.1181945800781
1092.1370849609375,1.1008976798621006e-05,671.0386352539062,421.0984191894531
1092.091552734375,1.1010380148945842e-05,671.0128173828125,421.0787048339844
1092.046630859375,1.1009939953510184e-05,670.987548828125,421.05902099609375
1092.0035400390625,1.1041998732252978e-05,670.9640502929688,421.0395202636719
1091.9610595703125,1.1072306733694859e-05,670.940673828125,421.0203857421875
1091.918701171875,1.1083960089308675e-05,670.9172973632812,421.0013427734375
1091.876220703125,1.1119873306597583e-05,670.893798828125,420.98248291015625
1091.8338623046875,1.1148370504088234e-05,670.8703002929688,420.9635925292969
1091.7913818359375,1.1173831808264367e-05,670.8466796875,420.9447021484375
1091.748779296875,1.1214223377464805e-05,670.8229370117188,420.9258728027344
1091.7059326171875,1.124491791415494e-05,670.7990112304688,420.9069519042969
1091.6629638671875,1.12681873360998e-05,670.7749633789062,420.88800048828125
1091.6199951171875,1.1257807273068465e-05,670.7509765625,420.8690185546875
1091.5771484375,1.12181196527672e-05,670.7269897460938,420.8502197265625
1091.534423828125,1.1185733455931768e-05,670.7030029296875,420.8313903808594
1091.49169921875,1.1150870705023408e-05,670.6790771484375,420.81256103515625
1091.4488525390625,1.112502741307253e-05,670.6550903320312,420.79376220703125
1091.4061279296875,1.1122921023343224e-05,670.6312255859375,420.7748718261719
1091.363037109375,1.1111055755463894e-05,670.6071166992188,420.7559509277344
1091.3194580078125,1.111375695472816e-05,670.5825805664062,420.7369079589844
1091.2752685546875,1.1130377060908359e-05,670.5575561523438,420.71771240234375
1091.2303466796875,1.1130036000395194e-05,670.531982421875,420.6983947753906
1091.1854248046875,1.1146180440846365e-05,670.5064697265625,420.678955078125
1091.1407470703125,1.116771818487905e-05,670.4813232421875,420.659423828125
1091.096435546875,1.1190544682904147e-05,670.4564208984375,420.6399841308594
1091.052001953125,1.1210508091608062e-05,670.4314575195312,420.62054443359375
1091.0072021484375,1.1222802640986629e-05,670.4061889648438,420.6009826660156
1090.962158203125,1.1232410543016158e-05,670.3806762695312,420.58148193359375
1090.916748046875,1.1244078450545203e-05,670.3548583984375,420.56182861328125
1090.87109375,1.1251071555307135e-05,670.3289184570312,420.542236328125
1090.825439453125,1.1260216524533462e-05,670.3028564453125,420.5225524902344
1090.779296875,1.127947871282231e-05,670.2764282226562,420.5028381347656
1090.73291015625,1.129531938204309e-05,670.2498168945312,420.4830627441406
1090.686279296875,1.131541830545757e-05,670.2230834960938,420.4632568359375
1090.6395263671875,1.1324716069793794e-05,670.1961669921875,420.4433898925781
1090.592529296875,1.1345008715579752e-05,670.1691284179688,420.4234619140625
1090.5452880859375,1.137635172199225e-05,670.141845703125,420.4034729003906
1090.4979248046875,1.1406365047150757e-05,670.1145629882812,420.3833923339844
1090.4503173828125,1.1436034583311994e-05,670.0870971679688,420.3631896972656
1090.4022216796875,1.1460249879746698e-05,670.0593872070312,420.3428649902344
1090.35400390625,1.148802948591765e-05,670.031494140625,420.3224792480469
1090.3052978515625,1.1517165148688946e-05,670.00341796875,420.3019104003906
1090.25634765625,1.1544759217940737e-05,669.97509765625,420.28118896484375
1090.20703125,1.1574128620850388e-05,669.9466552734375,420.2603759765625
1090.1572265625,1.1612112757575233e-05,669.91796875,420.23931884765625
1090.1072998046875,1.1648184226942249e-05,669.88916015625,420.2181396484375
1090.0567626953125,1.169809911516495e-05,669.8600463867188,420.19671630859375
1090.005615234375,1.1744738912966568e-05,669.8306274414062,420.1750183105469
1089.9534912109375,1.1771544450311922e-05,669.8003540039062,420.1531066894531
1089.9005126953125,1.1789451491495129e-05,669.7695922851562,420.1309509277344
1089.84716796875,1.1796830222010612e-05,669.7385864257812,420.1085205078125
1089.79296875,1.1808958333858754e-05,669.7071533203125,420.0858154296875
1089.73828125,1.182752657769015e-05,669.6754150390625,420.0628662109375
1089.683349609375,1.1858558536914643e-05,669.6436767578125,420.0396728515625
1089.628173828125,1.1894431736436673e-05,669.61181640625,420.0163879394531
1089.5726318359375,1.1922287740162574e-05,669.5796508789062,419.9929504394531
1089.5150146484375,1.1938656825805083e-05,669.5458374023438,419.96917724609375
1089.4541015625,1.1902153346454725e-05,669.5090942382812,419.9449768066406
1089.3936767578125,1.1880705642397515e-05,669.4733276367188,419.92034912109375
1089.3331298828125,1.1853523574245628e-05,669.4375610351562,419.8955383300781
1089.2718505859375,1.1838029422506224e-05,669.4013061523438,419.87054443359375
1089.20947265625,1.1835828445327934e-05,669.3643188476562,419.8451232910156
1089.14599609375,1.1826547961391043e-05,669.3265991210938,419.8193359375
1089.0830078125,1.1821442967629991e-05,669.2898559570312,419.7931213378906
1089.01953125,1.1813362107204739e-05,669.2527465820312,419.7667541503906
1088.9549560546875,1.1804552741523366e-05,669.2149047851562,419.7400817871094
1088.8895263671875,1.179740866064094e-05,669.176513671875,419.7130432128906
1088.822998046875,1.1780119166360237e-05,669.1373901367188,419.6855773925781
1088.75537109375,1.1760501365642995e-05,669.09765625,419.65771484375
1088.6865234375,1.1720767361111939e-05,669.0571899414062,419.62939453125
1088.617431640625,1.1623318641795777e-05,669.0166015625,419.6007995605469
1088.5469970703125,1.1471154721220955e-05,668.9749145507812,419.57208251953125
1088.4755859375,1.1370849279046524e-05,668.9326171875,419.54302978515625
1088.4031982421875,1.127149607782485e-05,668.8895874023438,419.5136413574219
1088.3291015625,1.119339867727831e-05,668.8455810546875,419.48358154296875
1088.2535400390625,1.1117985195596702e-05,668.8004760742188,419.4530334472656
1088.1763916015625,1.1057812116632704e-05,668.754638671875,419.4217834472656
1088.0977783203125,1.100193549063988e-05,668.7078247070312,419.3899841308594
1088.017822265625,1.0925875358225312e-05,668.6602172851562,419.3575439453125
1087.936279296875,1.08716976683354e-05,668.61181640625,419.32452392578125
1087.853515625,1.0787658538902178e-05,668.5626831054688,419.2908630371094
1087.769287109375,1.0716054021031596e-05,668.5126953125,419.2566223144531
1087.6837158203125,1.0639060747053009e-05,668.4619140625,419.2218322753906
1087.5966796875,1.057239296642365e-05,668.4103393554688,419.1864013671875
1087.50830078125,1.0506157195777632e-05,668.3579711914062,419.150390625
1087.4185791015625,1.0421059414511546e-05,668.3047485351562,419.1138000488281
1087.323974609375,1.0314063729310874e-05,668.2474365234375,419.0765380859375
1087.22802734375,1.0192823538091034e-05,668.1895751953125,419.03839111328125
1087.131103515625,1.0080023457703646e-05,668.1315307617188,418.9996337890625
1087.0325927734375,9.966383913706522e-06,668.0723876953125,418.9601745605469
1086.9322509765625,9.855897587840445e-06,668.0121459960938,418.9200744628906
1086.8297119140625,9.749697710503824e-06,667.9505004882812,418.8792419433594
1086.7252197265625,9.629985470382962e-06,667.8876342773438,418.83758544921875
1086.6187744140625,9.51356105360901e-06,667.8236694335938,418.79510498046875
1086.510498046875,9.393134860147256e-06,667.7586669921875,418.7518005371094
1086.4007568359375,9.272392162529286e-06,667.6931762695312,418.70758056640625
1086.28955078125,9.164084076473955e-06,667.6270141601562,418.66259765625
1086.176513671875,9.058283467311412e-06,667.5596923828125,418.6167907714844
1086.0614013671875,8.931925549404696e-06,667.4913330078125,418.5700988769531
1085.9443359375,8.809177415969316e-06,667.4217529296875,418.5225830078125
1085.8251953125,8.67879771249136e-06,667.3510131835938,418.4742431640625
1085.70361328125,8.487225386488717e-06,667.2789306640625,418.4247131347656
1085.5814208984375,8.353385055670515e-06,667.2070922851562,418.3742980957031
1085.459228515625,8.219660230679438e-06,667.1358032226562,418.3233642578125
1085.336181640625,8.109123882604763e-06,667.0641479492188,418.2720031738281
1085.21142578125,8.014502782316413e-06,666.9913330078125,418.2201232910156
1085.08447265625,7.915738933661487e-06,666.9169311523438,418.1676025390625
1084.954345703125,7.81287053541746e-06,666.8399658203125,418.11431884765625
1084.82177734375,7.695828571741004e-06,666.7615966796875,418.06024169921875
1084.68701171875,7.587398613395635e-06,666.6817626953125,418.0052795410156
1084.55078125,7.481763532268815e-06,666.6013793945312,417.949462890625
1084.413818359375,7.374042070296127e-06,666.5208740234375,417.8929748535156
1084.27490234375,7.260340225911932e-06,666.4391479492188,417.8358154296875
1084.134033203125,7.136757631087676e-06,666.3561401367188,417.7779235839844
1083.991943359375,7.025432296359213e-06,666.2728881835938,417.7191162109375
1083.8486328125,6.907681836310076e-06,666.1892700195312,417.65936279296875
1083.703125,6.828182904428104e-06,666.1041870117188,417.598876953125
1083.55517578125,6.730244876962388e-06,666.0176391601562,417.5375061035156
1083.405029296875,6.647984719165834e-06,665.9297485351562,417.4753112792969
1083.252685546875,6.612382549064932e-06,665.8403930664062,417.4122314453125
1083.0980224609375,6.614973244722933e-06,665.749755859375,417.3482971191406
1082.9415283203125,6.588913947780384e-06,665.6578979492188,417.2835998535156
1082.7825927734375,6.55384928904823e-06,665.5646362304688,417.2179870605469
1082.6214599609375,6.504624707304174e-06,665.4699096679688,417.1515197753906
1082.457763671875,6.449206011893693e-06,665.3737182617188,417.0840759277344
1082.29296875,6.371751169353956e-06,665.27734375,417.0156555175781
1082.125732421875,6.283154107222799e-06,665.1793823242188,416.9463806152344
1081.9560546875,6.188315637700725e-06,665.079833984375,416.87628173828125
1081.7840576171875,6.071395091566956e-06,664.978759765625,416.8052673339844
1081.6094970703125,5.954607331659645e-06,664.8761596679688,416.73333740234375
