Option Price: 17.01496124267578
5.8385
0.7769
0.0124
23.8776
45.1372
50500/60000 PDE Loss: 0.00344, BC Loss: 0.00149
51000/60000 PDE Loss: 0.00066, BC Loss: 0.00001
51500/60000 PDE Loss: 0.00065, BC Loss: 0.00001
52000/60000 PDE Loss: 0.00065, BC Loss: 0.00001
52500/60000 PDE Loss: 0.00064, BC Loss: 0.00001
53000/60000 PDE Loss: 0.00064, BC Loss: 0.00001
53500/60000 PDE Loss: 0.00064, BC Loss: 0.00001
54000/60000 PDE Loss: 0.00064, BC Loss: 0.00001
54500/60000 PDE Loss: 0.00330, BC Loss: 0.02091
55000/60000 PDE Loss: 0.00066, BC Loss: 0.00001
55500/60000 PDE Loss: 0.00065, BC Loss: 0.00001
56000/60000 PDE Loss: 0.00065, BC Loss: 0.00001
56500/60000 PDE Loss: 0.00064, BC Loss: 0.00001
57000/60000 PDE Loss: 0.00064, BC Loss: 0.00001
57500/60000 PDE Loss: 0.00064, BC Loss: 0.00001
58000/60000 PDE Loss: 0.00063, BC Loss: 0.00001
58500/60000 PDE Loss: 0.00063, BC Loss: 0.00001
59000/60000 PDE Loss: 0.00064, BC Loss: 0.00001
59500/60000 PDE Loss: 0.00063, BC Loss: 0.00001
