39000/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000499
39500/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000497
40000/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000496
40500/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000496
41000/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000496
41500/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000496
42000/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000497
42500/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000496
43000/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000496
43500/60000 PDE Loss: 0.00110, BC Loss: 0.00306, total loss: 0.004151
44000/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000495
44500/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000495
45000/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000495
45500/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000496
46000/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000497
46500/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000496
47000/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000497
47500/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000497
48000/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000497
48500/60000 PDE Loss: 0.00312, BC Loss: 0.00346, total loss: 0.006587
49000/60000 PDE Loss: 0.00053, BC Loss: 0.00001, total loss: 0.000530
49500/60000 PDE Loss: 0.00052, BC Loss: 0.00000, total loss: 0.000523
50000/60000 PDE Loss: 0.00052, BC Loss: 0.00000, total loss: 0.000522
50500/60000 PDE Loss: 0.00052, BC Loss: 0.00000, total loss: 0.000522
51000/60000 PDE Loss: 0.00052, BC Loss: 0.00000, total loss: 0.000522
51500/60000 PDE Loss: 0.00052, BC Loss: 0.00000, total loss: 0.000522
52000/60000 PDE Loss: 0.00052, BC Loss: 0.00000, total loss: 0.000522
52500/60000 PDE Loss: 0.00052, BC Loss: 0.00000, total loss: 0.000523
53000/60000 PDE Loss: 0.00052, BC Loss: 0.00000, total loss: 0.000523
53500/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000498
54000/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000495
54500/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000494
55000/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000494
55500/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000493
56000/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000493
56500/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000493
57000/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000493
57500/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000493
58000/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000493
58500/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000500
59000/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000495
59500/60000 PDE Loss: 0.00049, BC Loss: 0.00001, total loss: 0.000494
run time: 285.67502093315125
