30000/60000 PDE Loss: 0.00067, BC Loss: 0.00009, reg_loss:  0.837781, total loss: 0.000762
30500/60000 PDE Loss: 0.00067, BC Loss: 0.00007, reg_loss:  0.837780, total loss: 0.000742
31000/60000 PDE Loss: 0.00066, BC Loss: 0.00004, reg_loss:  0.837787, total loss: 0.000701
31500/60000 PDE Loss: 0.00066, BC Loss: 0.00100, reg_loss:  0.837794, total loss: 0.001653
32000/60000 PDE Loss: 0.00065, BC Loss: 0.00001, reg_loss:  0.837803, total loss: 0.000656
32500/60000 PDE Loss: 0.00064, BC Loss: 0.00077, reg_loss:  0.837808, total loss: 0.001410
33000/60000 PDE Loss: 0.00064, BC Loss: 0.00006, reg_loss:  0.837803, total loss: 0.000698
33500/60000 PDE Loss: 0.00063, BC Loss: 0.00001, reg_loss:  0.837786, total loss: 0.000645
34000/60000 PDE Loss: 0.00063, BC Loss: 0.00008, reg_loss:  0.837775, total loss: 0.000705
34500/60000 PDE Loss: 0.00062, BC Loss: 0.00006, reg_loss:  0.837763, total loss: 0.000682
35000/60000 PDE Loss: 0.00062, BC Loss: 0.00010, reg_loss:  0.837754, total loss: 0.000718
35500/60000 PDE Loss: 0.00062, BC Loss: 0.00001, reg_loss:  0.837740, total loss: 0.000632
36000/60000 PDE Loss: 0.00061, BC Loss: 0.00022, reg_loss:  0.837720, total loss: 0.000837
36500/60000 PDE Loss: 0.00061, BC Loss: 0.00001, reg_loss:  0.837700, total loss: 0.000618
37000/60000 PDE Loss: 0.00061, BC Loss: 0.00001, reg_loss:  0.837682, total loss: 0.000616
37500/60000 PDE Loss: 0.00060, BC Loss: 0.00001, reg_loss:  0.837676, total loss: 0.000613
38000/60000 PDE Loss: 0.00060, BC Loss: 0.00001, reg_loss:  0.837669, total loss: 0.000611
38500/60000 PDE Loss: 0.00060, BC Loss: 0.00001, reg_loss:  0.837657, total loss: 0.000609
39000/60000 PDE Loss: 0.00060, BC Loss: 0.00001, reg_loss:  0.837644, total loss: 0.000608
39500/60000 PDE Loss: 0.00060, BC Loss: 0.00002, reg_loss:  0.837628, total loss: 0.000621
40000/60000 PDE Loss: 0.00060, BC Loss: 0.00001, reg_loss:  0.837624, total loss: 0.000605
40500/60000 PDE Loss: 0.00060, BC Loss: 0.00001, reg_loss:  0.837614, total loss: 0.000603
41000/60000 PDE Loss: 0.00059, BC Loss: 0.00001, reg_loss:  0.837602, total loss: 0.000602
41500/60000 PDE Loss: 0.00059, BC Loss: 0.00001, reg_loss:  0.837587, total loss: 0.000600
42000/60000 PDE Loss: 0.00059, BC Loss: 0.00001, reg_loss:  0.837568, total loss: 0.000598
42500/60000 PDE Loss: 0.00059, BC Loss: 0.00001, reg_loss:  0.837560, total loss: 0.000597
43000/60000 PDE Loss: 0.00059, BC Loss: 0.00001, reg_loss:  0.837556, total loss: 0.000596
43500/60000 PDE Loss: 0.00059, BC Loss: 0.00001, reg_loss:  0.837549, total loss: 0.000596
44000/60000 PDE Loss: 0.00059, BC Loss: 0.00001, reg_loss:  0.837541, total loss: 0.000595
44500/60000 PDE Loss: 0.00059, BC Loss: 0.00001, reg_loss:  0.837532, total loss: 0.000594
45000/60000 PDE Loss: 0.00059, BC Loss: 0.00001, reg_loss:  0.837519, total loss: 0.000593
45500/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.837514, total loss: 0.000592
46000/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.837507, total loss: 0.000592
46500/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.837498, total loss: 0.000591
47000/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.837487, total loss: 0.000590
47500/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.837474, total loss: 0.000589
48000/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.837458, total loss: 0.000587
48500/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.837444, total loss: 0.000588
49000/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.837441, total loss: 0.000586
49500/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.837435, total loss: 0.000586
