24500/60000 PDE Loss: 0.03328, BC Loss: 0.000018, fc loss:  0.000007, total loss: 0.033301, minimum loss: 0.00277
25000/60000 PDE Loss: 0.00297, BC Loss: 0.000015, fc loss:  0.000019, total loss: 0.003006, minimum loss: 0.00277
25500/60000 PDE Loss: 0.01953, BC Loss: 0.000010, fc loss:  0.000006, total loss: 0.019550, minimum loss: 0.00277
26000/60000 PDE Loss: 0.01388, BC Loss: 0.000009, fc loss:  0.000007, total loss: 0.013897, minimum loss: 0.00277
26500/60000 PDE Loss: 0.01007, BC Loss: 0.000008, fc loss:  0.000009, total loss: 0.010088, minimum loss: 0.00277
27000/60000 PDE Loss: 0.00233, BC Loss: 0.000012, fc loss:  0.000020, total loss: 0.002366, minimum loss: 0.00237
27500/60000 PDE Loss: 0.00206, BC Loss: 0.000113, fc loss:  0.000201, total loss: 0.002374, minimum loss: 0.00226
28000/60000 PDE Loss: 0.00183, BC Loss: 0.000007, fc loss:  0.000011, total loss: 0.001848, minimum loss: 0.00185
28500/60000 PDE Loss: 0.00172, BC Loss: 0.000005, fc loss:  0.000009, total loss: 0.001731, minimum loss: 0.00173
29000/60000 PDE Loss: 0.00160, BC Loss: 0.000004, fc loss:  0.000007, total loss: 0.001611, minimum loss: 0.00161
29500/60000 PDE Loss: 0.00150, BC Loss: 0.000003, fc loss:  0.000005, total loss: 0.001505, minimum loss: 0.00151
30000/60000 PDE Loss: 0.00187, BC Loss: 0.000012, fc loss:  0.000016, total loss: 0.001895, minimum loss: 0.00146
30500/60000 PDE Loss: 0.00185, BC Loss: 0.000012, fc loss:  0.000015, total loss: 0.001877, minimum loss: 0.00146
31000/60000 PDE Loss: 0.00183, BC Loss: 0.000011, fc loss:  0.000015, total loss: 0.001861, minimum loss: 0.00146
31500/60000 PDE Loss: 0.00182, BC Loss: 0.000011, fc loss:  0.000015, total loss: 0.001846, minimum loss: 0.00146
32000/60000 PDE Loss: 0.00181, BC Loss: 0.000011, fc loss:  0.000015, total loss: 0.001836, minimum loss: 0.00146
32500/60000 PDE Loss: 0.00178, BC Loss: 0.000011, fc loss:  0.000016, total loss: 0.001811, minimum loss: 0.00146
