Option Price: 17.01496124267578
5.8385
0.7769
0.0124
23.8776
45.1372
50500/60000 PDE Loss: 0.00091, BC Loss: 0.00190
51000/60000 PDE Loss: 0.00341, BC Loss: 0.00221
51500/60000 PDE Loss: 0.00226, BC Loss: 0.00217
52000/60000 PDE Loss: 0.00087, BC Loss: 0.00185
52500/60000 PDE Loss: 0.00364, BC Loss: 0.00194
53000/60000 PDE Loss: 0.00107, BC Loss: 0.00185
53500/60000 PDE Loss: 0.00077, BC Loss: 0.00180
54000/60000 PDE Loss: 0.00140, BC Loss: 0.00183
54500/60000 PDE Loss: 0.00082, BC Loss: 0.00177
55000/60000 PDE Loss: 0.00196, BC Loss: 0.00201
55500/60000 PDE Loss: 0.00122, BC Loss: 0.00175
56000/60000 PDE Loss: 0.00077, BC Loss: 0.00171
56500/60000 PDE Loss: 0.00294, BC Loss: 0.00207
57000/60000 PDE Loss: 0.00070, BC Loss: 0.00167
57500/60000 PDE Loss: 0.00095, BC Loss: 0.00166
58000/60000 PDE Loss: 0.00180, BC Loss: 0.00170
58500/60000 PDE Loss: 0.00111, BC Loss: 0.00169
59000/60000 PDE Loss: 0.00082, BC Loss: 0.00163
59500/60000 PDE Loss: 0.00160, BC Loss: 0.00164
