38500/60000 PDE Loss: 0.00257, BC Loss: 0.00201, total loss: 0.004573
39000/60000 PDE Loss: 0.00295, BC Loss: 0.00198, total loss: 0.004929
39500/60000 PDE Loss: 0.00268, BC Loss: 0.00191, total loss: 0.004592
40000/60000 PDE Loss: 0.00238, BC Loss: 0.00195, total loss: 0.004323
40500/60000 PDE Loss: 0.00416, BC Loss: 0.00202, total loss: 0.006179
41000/60000 PDE Loss: 0.00205, BC Loss: 0.00178, total loss: 0.003830
41500/60000 PDE Loss: 0.00293, BC Loss: 0.00192, total loss: 0.004853
42000/60000 PDE Loss: 0.00214, BC Loss: 0.00169, total loss: 0.003827
42500/60000 PDE Loss: 0.00310, BC Loss: 0.00176, total loss: 0.004867
43000/60000 PDE Loss: 0.00227, BC Loss: 0.00163, total loss: 0.003904
43500/60000 PDE Loss: 0.00355, BC Loss: 0.00175, total loss: 0.005306
44000/60000 PDE Loss: 0.00233, BC Loss: 0.00180, total loss: 0.004125
44500/60000 PDE Loss: 0.00185, BC Loss: 0.00155, total loss: 0.003401
45000/60000 PDE Loss: 0.00546, BC Loss: 0.00226, total loss: 0.007714
45500/60000 PDE Loss: 0.00140, BC Loss: 0.00148, total loss: 0.002878
46000/60000 PDE Loss: 0.00168, BC Loss: 0.00151, total loss: 0.003190
46500/60000 PDE Loss: 0.00134, BC Loss: 0.00149, total loss: 0.002831
47000/60000 PDE Loss: 0.00157, BC Loss: 0.00145, total loss: 0.003015
47500/60000 PDE Loss: 0.00127, BC Loss: 0.00141, total loss: 0.002680
48000/60000 PDE Loss: 0.00263, BC Loss: 0.00165, total loss: 0.004280
48500/60000 PDE Loss: 0.00159, BC Loss: 0.00138, total loss: 0.002965
49000/60000 PDE Loss: 0.00302, BC Loss: 0.00170, total loss: 0.004722
49500/60000 PDE Loss: 0.00157, BC Loss: 0.00142, total loss: 0.002990
50000/60000 PDE Loss: 0.00162, BC Loss: 0.00132, total loss: 0.002942
50500/60000 PDE Loss: 0.00121, BC Loss: 0.00138, total loss: 0.002591
51000/60000 PDE Loss: 0.00146, BC Loss: 0.00134, total loss: 0.002804
51500/60000 PDE Loss: 0.00116, BC Loss: 0.00124, total loss: 0.002405
52000/60000 PDE Loss: 0.00112, BC Loss: 0.00127, total loss: 0.002392
52500/60000 PDE Loss: 0.00253, BC Loss: 0.00141, total loss: 0.003946
53000/60000 PDE Loss: 0.00158, BC Loss: 0.00135, total loss: 0.002931
53500/60000 PDE Loss: 0.00182, BC Loss: 0.00129, total loss: 0.003104
54000/60000 PDE Loss: 0.00167, BC Loss: 0.00122, total loss: 0.002890
54500/60000 PDE Loss: 0.00190, BC Loss: 0.00121, total loss: 0.003115
55000/60000 PDE Loss: 0.00141, BC Loss: 0.00124, total loss: 0.002641
55500/60000 PDE Loss: 0.00255, BC Loss: 0.00130, total loss: 0.003849
56000/60000 PDE Loss: 0.00118, BC Loss: 0.00111, total loss: 0.002294
56500/60000 PDE Loss: 0.00091, BC Loss: 0.00110, total loss: 0.002009
57000/60000 PDE Loss: 0.00108, BC Loss: 0.00109, total loss: 0.002164
57500/60000 PDE Loss: 0.00135, BC Loss: 0.00110, total loss: 0.002452
58000/60000 PDE Loss: 0.00223, BC Loss: 0.00128, total loss: 0.003510
58500/60000 PDE Loss: 0.00126, BC Loss: 0.00125, total loss: 0.002508
59000/60000 PDE Loss: 0.00199, BC Loss: 0.00122, total loss: 0.003210
59500/60000 PDE Loss: 0.00380, BC Loss: 0.00124, total loss: 0.005040
run time: 3925.0079731941223s
