
DGMCell(
  (sig_act): Tanh()
  (Sw): Linear(in_features=2, out_features=100, bias=True)
  (Uz): Linear(in_features=2, out_features=100, bias=True)
  (Wsz): Linear(in_features=100, out_features=100, bias=True)
  (Ug): Linear(in_features=2, out_features=100, bias=True)
  (Wsg): Linear(in_features=100, out_features=100, bias=True)
  (Ur): Linear(in_features=2, out_features=100, bias=True)
  (Wsr): Linear(in_features=100, out_features=100, bias=True)
  (Uh): Linear(in_features=2, out_features=100, bias=True)
  (Wsh): Linear(in_features=100, out_features=100, bias=True)
  (Wf): Linear(in_features=100, out_features=1, bias=True)
)
FeedforwardNeuralNetwork(
  (layers): ModuleList(
    (0): Linear(in_features=2, out_features=50, bias=True)
    (1-2): 2 x Linear(in_features=50, out_features=50, bias=True)
  )
  (output): Linear(in_features=50, out_features=1, bias=True)
  (relu): ReLU()
)
ImprovedFNN(
  (input): Linear(in_features=2, out_features=50, bias=True)
  (hidden): ModuleList(
    (0-1): 2 x AdaptiveRelu()
  )
  (output): Linear(in_features=50, out_features=1, bias=True)
25000/60000 PDE Loss: 1.02402, BC Loss: 6.06130, reg_loss:  0.204083 total loss: 7.085323
25500/60000 PDE Loss: 0.87952, BC Loss: 4.91114, reg_loss:  0.201062 total loss: 5.790664
26000/60000 PDE Loss: 0.75131, BC Loss: 3.89179, reg_loss:  0.198171 total loss: 4.643095
26500/60000 PDE Loss: 0.62704, BC Loss: 3.02472, reg_loss:  0.195402 total loss: 3.651765
27000/60000 PDE Loss: 0.51331, BC Loss: 2.29343, reg_loss:  0.192749 total loss: 2.806741
27500/60000 PDE Loss: 0.41949, BC Loss: 1.66820, reg_loss:  0.190255 total loss: 2.087690
28000/60000 PDE Loss: 0.32754, BC Loss: 1.20273, reg_loss:  0.187903 total loss: 1.530267
28500/60000 PDE Loss: 0.26677, BC Loss: 0.85509, reg_loss:  0.185722 total loss: 1.121858
29000/60000 PDE Loss: 0.22131, BC Loss: 0.59814, reg_loss:  0.183741 total loss: 0.819454
29500/60000 PDE Loss: 0.20857, BC Loss: 0.40122, reg_loss:  0.181999 total loss: 0.609795
30000/60000 PDE Loss: 0.17533, BC Loss: 0.29248, reg_loss:  0.180536 total loss: 0.467818
