21000/60000 mse loss: 0.001538, PDE Loss: 0.00149, BC Loss: 0.00001, fc loss: 0.00004, reg_loss:  0.849698, min loss: 0.00154
21500/60000 mse loss: 0.001521, PDE Loss: 0.00147, BC Loss: 0.00001, fc loss: 0.00004, reg_loss:  0.849717, min loss: 0.00152
22000/60000 mse loss: 0.001505, PDE Loss: 0.00146, BC Loss: 0.00001, fc loss: 0.00003, reg_loss:  0.849740, min loss: 0.00150
22500/60000 mse loss: 0.001484, PDE Loss: 0.00144, BC Loss: 0.00001, fc loss: 0.00003, reg_loss:  0.849766, min loss: 0.00148
23000/60000 mse loss: 0.001459, PDE Loss: 0.00142, BC Loss: 0.00001, fc loss: 0.00003, reg_loss:  0.849796, min loss: 0.00146
23500/60000 mse loss: 0.001429, PDE Loss: 0.00139, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.849837, min loss: 0.00143
24000/60000 mse loss: 0.001407, PDE Loss: 0.00137, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.849877, min loss: 0.00141
24500/60000 mse loss: 0.001394, PDE Loss: 0.00136, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.849897, min loss: 0.00139
25000/60000 mse loss: 0.001380, PDE Loss: 0.00135, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.849920, min loss: 0.00138
25500/60000 mse loss: 0.001359, PDE Loss: 0.00133, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.849943, min loss: 0.00136
26000/60000 mse loss: 0.001337, PDE Loss: 0.00131, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.849970, min loss: 0.00134
26500/60000 mse loss: 0.001310, PDE Loss: 0.00128, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.849999, min loss: 0.00131
27000/60000 mse loss: 0.001277, PDE Loss: 0.00125, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.850033, min loss: 0.00128
27500/60000 mse loss: 0.001266, PDE Loss: 0.00124, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.850051, min loss: 0.00127
28000/60000 mse loss: 0.001252, PDE Loss: 0.00123, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.850053, min loss: 0.00125
28500/60000 mse loss: 0.001237, PDE Loss: 0.00121, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.850054, min loss: 0.00124
29000/60000 mse loss: 0.001223, PDE Loss: 0.00120, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.850055, min loss: 0.00122
29500/60000 mse loss: 0.001200, PDE Loss: 0.00118, BC Loss: 0.00001, fc loss: 0.00002, reg_loss:  0.850056, min loss: 0.00120
30000/60000 mse loss: 0.001179, PDE Loss: 0.00116, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850059, min loss: 0.00118
30500/60000 mse loss: 0.001155, PDE Loss: 0.00113, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850060, min loss: 0.00116
31000/60000 mse loss: 0.001123, PDE Loss: 0.00110, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850061, min loss: 0.00112
31500/60000 mse loss: 0.001118, PDE Loss: 0.00109, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850054, min loss: 0.00112
32000/60000 mse loss: 0.001109, PDE Loss: 0.00109, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850034, min loss: 0.00111
32500/60000 mse loss: 0.001100, PDE Loss: 0.00108, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850012, min loss: 0.00110
33000/60000 mse loss: 0.001091, PDE Loss: 0.00107, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.849990, min loss: 0.00109
33500/60000 mse loss: 0.001078, PDE Loss: 0.00106, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.849969, min loss: 0.00108
34000/60000 mse loss: 0.001065, PDE Loss: 0.00104, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.849953, min loss: 0.00106
34500/60000 mse loss: 0.001046, PDE Loss: 0.00103, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.849943, min loss: 0.00105
35000/60000 mse loss: 0.001026, PDE Loss: 0.00101, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.849946, min loss: 0.00103
35500/60000 mse loss: 0.001027, PDE Loss: 0.00100, BC Loss: 0.00002, fc loss: 0.00002, reg_loss:  0.849962, min loss: 0.00101
36000/60000 mse loss: 0.001005, PDE Loss: 0.00099, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.849966, min loss: 0.00101
36500/60000 mse loss: 0.001000, PDE Loss: 0.00098, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.849968, min loss: 0.00100
37000/60000 mse loss: 0.000995, PDE Loss: 0.00097, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.849973, min loss: 0.00099
37500/60000 mse loss: 0.000983, PDE Loss: 0.00096, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.849979, min loss: 0.00098
38000/60000 mse loss: 0.000971, PDE Loss: 0.00095, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.849988, min loss: 0.00097
38500/60000 mse loss: 0.000957, PDE Loss: 0.00094, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.849999, min loss: 0.00096
39000/60000 mse loss: 0.000943, PDE Loss: 0.00092, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850012, min loss: 0.00094
39500/60000 mse loss: 0.019476, PDE Loss: 0.00117, BC Loss: 0.01601, fc loss: 0.00229, reg_loss:  0.850022, min loss: 0.00093
40000/60000 mse loss: 0.000925, PDE Loss: 0.00091, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850033, min loss: 0.00093
40500/60000 mse loss: 0.000921, PDE Loss: 0.00090, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850037, min loss: 0.00092
41000/60000 mse loss: 0.000917, PDE Loss: 0.00090, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850042, min loss: 0.00092
41500/60000 mse loss: 0.000911, PDE Loss: 0.00089, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850048, min loss: 0.00091
42000/60000 mse loss: 0.000905, PDE Loss: 0.00089, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850055, min loss: 0.00090
42500/60000 mse loss: 0.000895, PDE Loss: 0.00088, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850065, min loss: 0.00089
43000/60000 mse loss: 0.000882, PDE Loss: 0.00086, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850075, min loss: 0.00088
43500/60000 mse loss: 0.000871, PDE Loss: 0.00085, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850088, min loss: 0.00087
44000/60000 mse loss: 0.001008, PDE Loss: 0.00088, BC Loss: 0.00008, fc loss: 0.00005, reg_loss:  0.850094, min loss: 0.00086
44500/60000 mse loss: 0.000857, PDE Loss: 0.00084, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850108, min loss: 0.00086
45000/60000 mse loss: 0.000854, PDE Loss: 0.00084, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850112, min loss: 0.00085
45500/60000 mse loss: 0.000849, PDE Loss: 0.00083, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850116, min loss: 0.00085
46000/60000 mse loss: 0.000844, PDE Loss: 0.00083, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850122, min loss: 0.00084
46500/60000 mse loss: 0.000838, PDE Loss: 0.00082, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850129, min loss: 0.00084
47000/60000 mse loss: 0.000831, PDE Loss: 0.00081, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850139, min loss: 0.00083
47500/60000 mse loss: 0.000820, PDE Loss: 0.00080, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850150, min loss: 0.00082
48000/60000 mse loss: 0.007766, PDE Loss: 0.00107, BC Loss: 0.00666, fc loss: 0.00003, reg_loss:  0.850159, min loss: 0.00081
48500/60000 mse loss: 0.000811, PDE Loss: 0.00079, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850169, min loss: 0.00081
49000/60000 mse loss: 0.000808, PDE Loss: 0.00079, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850170, min loss: 0.00081
49500/60000 mse loss: 0.000806, PDE Loss: 0.00079, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850173, min loss: 0.00081
50000/60000 mse loss: 0.000803, PDE Loss: 0.00079, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850176, min loss: 0.00080
50500/60000 mse loss: 0.000800, PDE Loss: 0.00078, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850179, min loss: 0.00080
51000/60000 mse loss: 0.000795, PDE Loss: 0.00078, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850184, min loss: 0.00080
51500/60000 mse loss: 0.000790, PDE Loss: 0.00077, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850189, min loss: 0.00079
52000/60000 mse loss: 0.000783, PDE Loss: 0.00077, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850195, min loss: 0.00078
52500/60000 mse loss: 0.002939, PDE Loss: 0.00100, BC Loss: 0.00070, fc loss: 0.00125, reg_loss:  0.850178, min loss: 0.00077
53000/60000 mse loss: 0.000776, PDE Loss: 0.00076, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850208, min loss: 0.00077
53500/60000 mse loss: 0.000774, PDE Loss: 0.00076, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850210, min loss: 0.00077
54000/60000 mse loss: 0.000772, PDE Loss: 0.00076, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850211, min loss: 0.00077
54500/60000 mse loss: 0.000769, PDE Loss: 0.00075, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850213, min loss: 0.00077
55000/60000 mse loss: 0.000767, PDE Loss: 0.00075, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850215, min loss: 0.00077
55500/60000 mse loss: 0.000764, PDE Loss: 0.00075, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850218, min loss: 0.00076
56000/60000 mse loss: 0.000757, PDE Loss: 0.00074, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850221, min loss: 0.00076
56500/60000 mse loss: 0.000749, PDE Loss: 0.00073, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850225, min loss: 0.00075
57000/60000 mse loss: 0.001301, PDE Loss: 0.00087, BC Loss: 0.00024, fc loss: 0.00019, reg_loss:  0.850206, min loss: 0.00074
57500/60000 mse loss: 0.000744, PDE Loss: 0.00073, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850235, min loss: 0.00074
58000/60000 mse loss: 0.000743, PDE Loss: 0.00073, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850236, min loss: 0.00074
58500/60000 mse loss: 0.000741, PDE Loss: 0.00073, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850237, min loss: 0.00074
59000/60000 mse loss: 0.000739, PDE Loss: 0.00072, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850237, min loss: 0.00074
59500/60000 mse loss: 0.000737, PDE Loss: 0.00072, BC Loss: 0.00001, fc loss: 0.00001, reg_loss:  0.850238, min loss: 0.00074
run time: 440.9373109340668
