38500/60000 PDE Loss: 0.01003, BC Loss: 42.00994, total loss: 123.570152
39000/60000 PDE Loss: 0.15129, BC Loss: 1191.81836, total loss: -186.472458
39500/60000 PDE Loss: 0.12213, BC Loss: 2306.09131, total loss: -0.117240
40000/60000 PDE Loss: 0.06996, BC Loss: 726.42639, total loss: 258.764954
40500/60000 PDE Loss: 0.00678, BC Loss: 47.39810, total loss: -109.729736
41000/60000 PDE Loss: 0.00661, BC Loss: 68.95764, total loss: -41.218746
41500/60000 PDE Loss: 0.00342, BC Loss: 75.17609, total loss: -17.986143
42000/60000 PDE Loss: 0.00171, BC Loss: 77.51698, total loss: -8.572728
42500/60000 PDE Loss: 0.00102, BC Loss: 78.46053, total loss: -3.569878
43000/60000 PDE Loss: 0.00071, BC Loss: 78.63917, total loss: -0.225289
43500/60000 PDE Loss: 0.00052, BC Loss: 78.22362, total loss: 2.575067
44000/60000 PDE Loss: 0.00040, BC Loss: 77.20850, total loss: 5.545204
44500/60000 PDE Loss: 0.00031, BC Loss: 75.45387, total loss: 9.499562
45000/60000 PDE Loss: 0.00027, BC Loss: 72.56623, total loss: 15.967166
45500/60000 PDE Loss: 0.00038, BC Loss: 67.44225, total loss: 28.923452
46000/60000 PDE Loss: 0.00138, BC Loss: 55.94732, total loss: 59.909916
46500/60000 PDE Loss: 0.01048, BC Loss: 23.46402, total loss: 28.923790
47000/60000 PDE Loss: 0.08847, BC Loss: 1095.36902, total loss: -92.573364
47500/60000 PDE Loss: 0.08075, BC Loss: 1657.70935, total loss: 12.019876
48000/60000 PDE Loss: 0.01899, BC Loss: 370.12366, total loss: 166.850800
48500/60000 PDE Loss: 0.00284, BC Loss: 48.51784, total loss: -76.054649
49000/60000 PDE Loss: 0.00523, BC Loss: 79.84287, total loss: -38.216316
49500/60000 PDE Loss: 0.00446, BC Loss: 93.24285, total loss: -16.649527
50000/60000 PDE Loss: 0.00307, BC Loss: 99.44252, total loss: -5.892014
50500/60000 PDE Loss: 0.00189, BC Loss: 100.64480, total loss: 2.424531
51000/60000 PDE Loss: 0.00112, BC Loss: 98.87739, total loss: 6.834287
51500/60000 PDE Loss: 0.00066, BC Loss: 94.50665, total loss: 12.814443
52000/60000 PDE Loss: 0.00037, BC Loss: 86.22227, total loss: 23.208380
52500/60000 PDE Loss: 0.00046, BC Loss: 70.25015, total loss: 43.830910
53000/60000 PDE Loss: 0.00452, BC Loss: 36.68410, total loss: 40.821804
53500/60000 PDE Loss: 0.02928, BC Loss: 427.59122, total loss: -85.042259
54000/60000 PDE Loss: 0.01848, BC Loss: 599.06787, total loss: 57.363373
54500/60000 PDE Loss: 0.00151, BC Loss: 32.95121, total loss: -4.415292
55000/60000 PDE Loss: 0.00168, BC Loss: 57.35220, total loss: -41.935123
55500/60000 PDE Loss: 0.00350, BC Loss: 71.88924, total loss: -16.384310
56000/60000 PDE Loss: 0.00214, BC Loss: 75.09572, total loss: 1.662489
56500/60000 PDE Loss: 0.00470, BC Loss: 68.54722, total loss: 27.145712
57000/60000 PDE Loss: 0.00402, BC Loss: 48.96513, total loss: 44.947441
57500/60000 PDE Loss: 0.00291, BC Loss: 49.71119, total loss: -31.725279
58000/60000 PDE Loss: 0.00934, BC Loss: 328.10986, total loss: -0.411885
58500/60000 PDE Loss: 0.00172, BC Loss: 50.73413, total loss: 33.278263
59000/60000 PDE Loss: 0.00087, BC Loss: 40.29218, total loss: -32.884579
59500/60000 PDE Loss: 0.00118, BC Loss: 54.39495, total loss: -10.447960
run time: 2909.7137694358826
finish
