30000/60000 PDE Loss: 0.00077, BC Loss: 0.73665, total loss: 0.737413, neural network loss: 0.097073
30500/60000 PDE Loss: 0.00074, BC Loss: 0.72864, total loss: 0.729377, neural network loss: 0.095612
31000/60000 PDE Loss: 0.00072, BC Loss: 0.72080, total loss: 0.721521, neural network loss: 0.094395
31500/60000 PDE Loss: 0.00069, BC Loss: 0.71323, total loss: 0.713926, neural network loss: 0.093129
32000/60000 PDE Loss: 0.00068, BC Loss: 0.70585, total loss: 0.706531, neural network loss: 0.091959
32500/60000 PDE Loss: 0.00066, BC Loss: 0.69864, total loss: 0.699301, neural network loss: 0.090853
33000/60000 PDE Loss: 0.00065, BC Loss: 0.69159, total loss: 0.692236, neural network loss: 0.089779
33500/60000 PDE Loss: 0.00064, BC Loss: 0.68466, total loss: 0.685294, neural network loss: 0.088790
34000/60000 PDE Loss: 0.00062, BC Loss: 0.67787, total loss: 0.678490, neural network loss: 0.087813
34500/60000 PDE Loss: 0.00061, BC Loss: 0.67115, total loss: 0.671765, neural network loss: 0.086864
35000/60000 PDE Loss: 0.00060, BC Loss: 0.66457, total loss: 0.665177, neural network loss: 0.085957
35500/60000 PDE Loss: 0.00059, BC Loss: 0.65806, total loss: 0.658651, neural network loss: 0.085023
36000/60000 PDE Loss: 0.00059, BC Loss: 0.65165, total loss: 0.652235, neural network loss: 0.084146
36500/60000 PDE Loss: 0.00058, BC Loss: 0.64531, total loss: 0.645888, neural network loss: 0.083288
37000/60000 PDE Loss: 0.00057, BC Loss: 0.63905, total loss: 0.639620, neural network loss: 0.082420
37500/60000 PDE Loss: 0.00056, BC Loss: 0.63288, total loss: 0.633446, neural network loss: 0.081581
38000/60000 PDE Loss: 0.00056, BC Loss: 0.62678, total loss: 0.627336, neural network loss: 0.080782
38500/60000 PDE Loss: 0.00055, BC Loss: 0.62074, total loss: 0.621292, neural network loss: 0.079990
39000/60000 PDE Loss: 0.00054, BC Loss: 0.61476, total loss: 0.615301, neural network loss: 0.079211
39500/60000 PDE Loss: 0.00054, BC Loss: 0.60888, total loss: 0.609415, neural network loss: 0.078424
40000/60000 PDE Loss: 0.00053, BC Loss: 0.60305, total loss: 0.603578, neural network loss: 0.077652
40500/60000 PDE Loss: 0.00053, BC Loss: 0.59730, total loss: 0.597825, neural network loss: 0.076943
41000/60000 PDE Loss: 0.00052, BC Loss: 0.59155, total loss: 0.592077, neural network loss: 0.076175
41500/60000 PDE Loss: 0.00052, BC Loss: 0.58589, total loss: 0.586406, neural network loss: 0.075442
42000/60000 PDE Loss: 0.00051, BC Loss: 0.58030, total loss: 0.580811, neural network loss: 0.074740
42500/60000 PDE Loss: 0.00051, BC Loss: 0.57475, total loss: 0.575256, neural network loss: 0.074047
43000/60000 PDE Loss: 0.00051, BC Loss: 0.56923, total loss: 0.569731, neural network loss: 0.073349
43500/60000 PDE Loss: 0.00050, BC Loss: 0.56379, total loss: 0.564289, neural network loss: 0.072665
44000/60000 PDE Loss: 0.00050, BC Loss: 0.55841, total loss: 0.558905, neural network loss: 0.071989
44500/60000 PDE Loss: 0.00049, BC Loss: 0.55304, total loss: 0.553536, neural network loss: 0.071310
45000/60000 PDE Loss: 0.00049, BC Loss: 0.54774, total loss: 0.548230, neural network loss: 0.070651
45500/60000 PDE Loss: 0.00049, BC Loss: 0.54247, total loss: 0.542961, neural network loss: 0.069975
46000/60000 PDE Loss: 0.00048, BC Loss: 0.53727, total loss: 0.537758, neural network loss: 0.069325
