0/60000 PDE Loss: 0.00000, BC Loss: 3393.63745, reg_loss:  0.904837, total loss: 3393.637451
500/60000 PDE Loss: 0.00004, BC Loss: 3378.68164, reg_loss:  0.898006, total loss: 3378.681641
1000/60000 PDE Loss: 0.00019, BC Loss: 3299.35352, reg_loss:  0.884097, total loss: 3299.353760
1500/60000 PDE Loss: 0.00063, BC Loss: 2895.69922, reg_loss:  0.868757, total loss: 2895.699951
2000/60000 PDE Loss: 0.00130, BC Loss: 1760.01562, reg_loss:  0.854538, total loss: 1760.016968
2500/60000 PDE Loss: 0.00083, BC Loss: 429.63971, reg_loss:  0.842776, total loss: 429.640533
3000/60000 PDE Loss: 0.00324, BC Loss: 85.65273, reg_loss:  0.834064, total loss: 85.655975
3500/60000 PDE Loss: 0.01077, BC Loss: 71.78840, reg_loss:  0.827134, total loss: 71.799171
4000/60000 PDE Loss: 0.01981, BC Loss: 65.84413, reg_loss:  0.821654, total loss: 65.863945
4500/60000 PDE Loss: 0.03136, BC Loss: 58.65741, reg_loss:  0.816233, total loss: 58.688763
5000/60000 PDE Loss: 0.03197, BC Loss: 48.66563, reg_loss:  0.810509, total loss: 48.697594
5500/60000 PDE Loss: 0.02226, BC Loss: 37.67757, reg_loss:  0.804887, total loss: 37.699829
6000/60000 PDE Loss: 0.00217, BC Loss: 28.04833, reg_loss:  0.799479, total loss: 28.050499
6500/60000 PDE Loss: 0.01195, BC Loss: 21.60136, reg_loss:  0.794671, total loss: 21.613308
7000/60000 PDE Loss: 0.07892, BC Loss: 15.91404, reg_loss:  0.790418, total loss: 15.992962
7500/60000 PDE Loss: 0.19795, BC Loss: 10.79476, reg_loss:  0.786787, total loss: 10.992716
8000/60000 PDE Loss: 0.30921, BC Loss: 6.57907, reg_loss:  0.783946, total loss: 6.888276
8500/60000 PDE Loss: 0.31578, BC Loss: 3.53639, reg_loss:  0.782106, total loss: 3.852171
9000/60000 PDE Loss: 0.20887, BC Loss: 1.63180, reg_loss:  0.781215, total loss: 1.840672
9500/60000 PDE Loss: 0.09184, BC Loss: 0.61819, reg_loss:  0.780917, total loss: 0.710031
10000/60000 PDE Loss: 0.02673, BC Loss: 0.19061, reg_loss:  0.780892, total loss: 0.217338
10500/60000 PDE Loss: 0.00508, BC Loss: 0.06012, reg_loss:  0.780953, total loss: 0.065198
11000/60000 PDE Loss: 0.00104, BC Loss: 0.03306, reg_loss:  0.781000, total loss: 0.034100
11500/60000 PDE Loss: 0.00066, BC Loss: 0.02717, reg_loss:  0.780696, total loss: 0.027826
12000/60000 PDE Loss: 0.00062, BC Loss: 0.02308, reg_loss:  0.780428, total loss: 0.023692
12500/60000 PDE Loss: 0.00060, BC Loss: 0.01938, reg_loss:  0.780227, total loss: 0.019976
13000/60000 PDE Loss: 0.00059, BC Loss: 0.01589, reg_loss:  0.780060, total loss: 0.016473
13500/60000 PDE Loss: 0.00058, BC Loss: 0.01256, reg_loss:  0.779916, total loss: 0.013135
14000/60000 PDE Loss: 0.00057, BC Loss: 0.00949, reg_loss:  0.779813, total loss: 0.010068
14500/60000 PDE Loss: 0.00057, BC Loss: 0.00693, reg_loss:  0.779721, total loss: 0.007499
15000/60000 PDE Loss: 0.00057, BC Loss: 0.00498, reg_loss:  0.779391, total loss: 0.005545
15500/60000 PDE Loss: 0.00056, BC Loss: 0.00361, reg_loss:  0.779213, total loss: 0.004177
16000/60000 PDE Loss: 0.00056, BC Loss: 0.00259, reg_loss:  0.779120, total loss: 0.003152
16500/60000 PDE Loss: 0.00056, BC Loss: 0.00183, reg_loss:  0.779065, total loss: 0.002388
17000/60000 PDE Loss: 0.00056, BC Loss: 0.00123, reg_loss:  0.779042, total loss: 0.001794
17500/60000 PDE Loss: 0.00056, BC Loss: 0.00082, reg_loss:  0.779033, total loss: 0.001379
18000/60000 PDE Loss: 0.00056, BC Loss: 0.00055, reg_loss:  0.779020, total loss: 0.001115
18500/60000 PDE Loss: 0.00056, BC Loss: 0.00038, reg_loss:  0.778986, total loss: 0.000941
19000/60000 PDE Loss: 0.00056, BC Loss: 0.00026, reg_loss:  0.778925, total loss: 0.000824
19500/60000 PDE Loss: 0.00056, BC Loss: 0.00019, reg_loss:  0.778849, total loss: 0.000747
20000/60000 PDE Loss: 0.00056, BC Loss: 0.00014, reg_loss:  0.778774, total loss: 0.000699
20500/60000 PDE Loss: 0.00056, BC Loss: 0.00011, reg_loss:  0.778704, total loss: 0.000665
21000/60000 PDE Loss: 0.00055, BC Loss: 0.00008, reg_loss:  0.778643, total loss: 0.000637
21500/60000 PDE Loss: 0.00055, BC Loss: 0.00007, reg_loss:  0.778595, total loss: 0.000619
22000/60000 PDE Loss: 0.00055, BC Loss: 0.00005, reg_loss:  0.778553, total loss: 0.000607
22500/60000 PDE Loss: 0.00055, BC Loss: 0.00004, reg_loss:  0.778488, total loss: 0.000594
23000/60000 PDE Loss: 0.00054, BC Loss: 0.00004, reg_loss:  0.778383, total loss: 0.000579
23500/60000 PDE Loss: 0.00054, BC Loss: 0.00003, reg_loss:  0.778275, total loss: 0.000566
24000/60000 PDE Loss: 0.00053, BC Loss: 0.00003, reg_loss:  0.778195, total loss: 0.000557
24500/60000 PDE Loss: 0.00053, BC Loss: 0.00002, reg_loss:  0.778152, total loss: 0.000549
25000/60000 PDE Loss: 0.00052, BC Loss: 0.00002, reg_loss:  0.778137, total loss: 0.000540
25500/60000 PDE Loss: 0.00051, BC Loss: 0.00199, reg_loss:  0.778125, total loss: 0.002503
26000/60000 PDE Loss: 0.00051, BC Loss: 0.00001, reg_loss:  0.778089, total loss: 0.000527
26500/60000 PDE Loss: 0.00051, BC Loss: 0.00001, reg_loss:  0.778038, total loss: 0.000524
27000/60000 PDE Loss: 0.00051, BC Loss: 0.00001, reg_loss:  0.777975, total loss: 0.000521
27500/60000 PDE Loss: 0.00051, BC Loss: 0.00001, reg_loss:  0.777897, total loss: 0.000518
28000/60000 PDE Loss: 0.00051, BC Loss: 0.00001, reg_loss:  0.777804, total loss: 0.000515
28500/60000 PDE Loss: 0.00050, BC Loss: 0.00001, reg_loss:  0.777690, total loss: 0.000513
29000/60000 PDE Loss: 0.00050, BC Loss: 0.00001, reg_loss:  0.777566, total loss: 0.000511
29500/60000 PDE Loss: 0.00050, BC Loss: 0.00001, reg_loss:  0.777430, total loss: 0.000508
30000/60000 PDE Loss: 0.00050, BC Loss: 0.00001, reg_loss:  0.777285, total loss: 0.000503
30500/60000 PDE Loss: 0.00049, BC Loss: 0.00001, reg_loss:  0.777132, total loss: 0.000498
31000/60000 PDE Loss: 0.00049, BC Loss: 0.00001, reg_loss:  0.776995, total loss: 0.000492
31500/60000 PDE Loss: 0.00048, BC Loss: 0.00001, reg_loss:  0.776878, total loss: 0.000489
32000/60000 PDE Loss: 0.00048, BC Loss: 0.00000, reg_loss:  0.776759, total loss: 0.000485
32500/60000 PDE Loss: 0.00048, BC Loss: 0.00000, reg_loss:  0.776639, total loss: 0.000480
