30000/60000 PDE Loss: 0.00104, BC Loss: 0.00003, total loss: 0.001067, minimum loss: 0.00107
30500/60000 PDE Loss: 0.00084, BC Loss: 0.00003, total loss: 0.000873, minimum loss: 0.00087
31000/60000 PDE Loss: 0.00078, BC Loss: 0.00003, total loss: 0.000808, minimum loss: 0.00081
31500/60000 PDE Loss: 0.00119, BC Loss: 0.00002, total loss: 0.001215, minimum loss: 0.00078
32000/60000 PDE Loss: 0.00094, BC Loss: 0.00002, total loss: 0.000959, minimum loss: 0.00078
32500/60000 PDE Loss: 0.00081, BC Loss: 0.00002, total loss: 0.000831, minimum loss: 0.00078
33000/60000 PDE Loss: 0.00068, BC Loss: 0.00002, total loss: 0.000700, minimum loss: 0.00070
33500/60000 PDE Loss: 0.00066, BC Loss: 0.00002, total loss: 0.000681, minimum loss: 0.00068
34000/60000 PDE Loss: 0.00065, BC Loss: 0.00001, total loss: 0.000665, minimum loss: 0.00066
34500/60000 PDE Loss: 0.00064, BC Loss: 0.00001, total loss: 0.000651, minimum loss: 0.00065
35000/60000 PDE Loss: 0.00063, BC Loss: 0.00001, total loss: 0.000646, minimum loss: 0.00065
35500/60000 PDE Loss: 0.00111, BC Loss: 0.00001, total loss: 0.001120, minimum loss: 0.00064
36000/60000 PDE Loss: 0.00087, BC Loss: 0.00001, total loss: 0.000884, minimum loss: 0.00064
36500/60000 PDE Loss: 0.00075, BC Loss: 0.00001, total loss: 0.000763, minimum loss: 0.00064
37000/60000 PDE Loss: 0.00063, BC Loss: 0.00001, total loss: 0.000639, minimum loss: 0.00064
37500/60000 PDE Loss: 0.00062, BC Loss: 0.00001, total loss: 0.000629, minimum loss: 0.00063
38000/60000 PDE Loss: 0.00061, BC Loss: 0.00001, total loss: 0.000617, minimum loss: 0.00062
38500/60000 PDE Loss: 0.00060, BC Loss: 0.00001, total loss: 0.000608, minimum loss: 0.00061
39000/60000 PDE Loss: 0.00059, BC Loss: 0.00001, total loss: 0.000600, minimum loss: 0.00060
39500/60000 PDE Loss: 0.00059, BC Loss: 0.00001, total loss: 0.000595, minimum loss: 0.00060
40000/60000 PDE Loss: 0.00104, BC Loss: 0.00001, total loss: 0.001050, minimum loss: 0.00059
40500/60000 PDE Loss: 0.00093, BC Loss: 0.00001, total loss: 0.000934, minimum loss: 0.00059
41000/60000 PDE Loss: 0.00070, BC Loss: 0.00001, total loss: 0.000705, minimum loss: 0.00059
41500/60000 PDE Loss: 0.00058, BC Loss: 0.00001, total loss: 0.000590, minimum loss: 0.00059
42000/60000 PDE Loss: 0.00058, BC Loss: 0.00001, total loss: 0.000588, minimum loss: 0.00059
42500/60000 PDE Loss: 0.00058, BC Loss: 0.00001, total loss: 0.000587, minimum loss: 0.00059
43000/60000 PDE Loss: 0.00058, BC Loss: 0.00001, total loss: 0.000585, minimum loss: 0.00058
43500/60000 PDE Loss: 0.00058, BC Loss: 0.00001, total loss: 0.000584, minimum loss: 0.00058
44000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, total loss: 0.000581, minimum loss: 0.00058
44500/60000 PDE Loss: 0.00102, BC Loss: 0.00001, total loss: 0.001031, minimum loss: 0.00058
45000/60000 PDE Loss: 0.00080, BC Loss: 0.00001, total loss: 0.000806, minimum loss: 0.00058
45500/60000 PDE Loss: 0.00069, BC Loss: 0.00001, total loss: 0.000695, minimum loss: 0.00058
46000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, total loss: 0.000582, minimum loss: 0.00058
46500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, total loss: 0.000582, minimum loss: 0.00058
47000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, total loss: 0.000581, minimum loss: 0.00058
47500/60000 PDE Loss: 0.00058, BC Loss: 0.00001, total loss: 0.000582, minimum loss: 0.00058
48000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, total loss: 0.000582, minimum loss: 0.00058
48500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, total loss: 0.000581, minimum loss: 0.00058
49000/60000 PDE Loss: 0.00136, BC Loss: 0.00002, total loss: 0.001383, minimum loss: 0.00058
49500/60000 PDE Loss: 0.00102, BC Loss: 0.00001, total loss: 0.001028, minimum loss: 0.00058
50000/60000 PDE Loss: 0.00080, BC Loss: 0.00001, total loss: 0.000803, minimum loss: 0.00058
50500/60000 PDE Loss: 0.00068, BC Loss: 0.00001, total loss: 0.000690, minimum loss: 0.00058
51000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, total loss: 0.000577, minimum loss: 0.00058
51500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, total loss: 0.000577, minimum loss: 0.00058
52000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, total loss: 0.000576, minimum loss: 0.00058
52500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, total loss: 0.000577, minimum loss: 0.00058
53000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, total loss: 0.000577, minimum loss: 0.00058
53500/60000 PDE Loss: 0.00069, BC Loss: 0.00001, total loss: 0.000698, minimum loss: 0.00058
54000/60000 PDE Loss: 0.00058, BC Loss: 0.00001, total loss: 0.000583, minimum loss: 0.00058
54500/60000 PDE Loss: 0.00058, BC Loss: 0.00001, total loss: 0.000582, minimum loss: 0.00058
55000/60000 PDE Loss: 0.00058, BC Loss: 0.00001, total loss: 0.000582, minimum loss: 0.00058
55500/60000 PDE Loss: 0.00058, BC Loss: 0.00001, total loss: 0.000582, minimum loss: 0.00058
56000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, total loss: 0.000581, minimum loss: 0.00058
56500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, total loss: 0.000579, minimum loss: 0.00058
57000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, total loss: 0.000578, minimum loss: 0.00058
57500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, total loss: 0.000578, minimum loss: 0.00058
58000/60000 PDE Loss: 0.00081, BC Loss: 0.00028, total loss: 0.001096, minimum loss: 0.00058
58500/60000 PDE Loss: 0.00079, BC Loss: 0.00001, total loss: 0.000802, minimum loss: 0.00058
59000/60000 PDE Loss: 0.00068, BC Loss: 0.00001, total loss: 0.000690, minimum loss: 0.00058
59500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, total loss: 0.000577, minimum loss: 0.00058
run time: 290.94539165496826
