2900/30000 PDE Loss: 1.96715, BC Loss: 5.48527,                   mse loss: 7.452423, combined loss: -0.02045
2950/30000 PDE Loss: 0.65445, BC Loss: 0.89034,                   mse loss: 1.544794, combined loss: -0.09597
3000/30000 PDE Loss: 1.71813, BC Loss: 4.60334,                   mse loss: 6.321463, combined loss: -0.00005
3050/30000 PDE Loss: 0.46033, BC Loss: 3.08542,                   mse loss: 3.545753, combined loss: -0.03186
3100/30000 PDE Loss: 0.26411, BC Loss: 3.20569,                   mse loss: 3.469796, combined loss: -0.02463
3150/30000 PDE Loss: 0.10671, BC Loss: 1.03854,                   mse loss: 1.145246, combined loss: -0.00816
3200/30000 PDE Loss: 0.08854, BC Loss: 1.12448,                   mse loss: 1.213015, combined loss: -0.00445
3250/30000 PDE Loss: 0.20789, BC Loss: 0.97306,                   mse loss: 1.180950, combined loss: -0.00147
3300/30000 PDE Loss: 0.03786, BC Loss: 1.05598,                   mse loss: 1.093840, combined loss: -0.00314
3350/30000 PDE Loss: 0.14775, BC Loss: 0.31283,                   mse loss: 0.460583, combined loss: -0.00230
3400/30000 PDE Loss: 0.01274, BC Loss: 0.23331,                   mse loss: 0.246048, combined loss: 0.00023
3450/30000 PDE Loss: 0.02598, BC Loss: 0.43213,                   mse loss: 0.458113, combined loss: 0.00347
3500/30000 PDE Loss: 8.55936, BC Loss: 9.71718,                   mse loss: 18.276541, combined loss: 1.10056
3550/30000 PDE Loss: 1.36308, BC Loss: 7.94744,                   mse loss: 9.310525, combined loss: 0.03521
3600/30000 PDE Loss: 0.61875, BC Loss: 2.67976,                   mse loss: 3.298510, combined loss: -0.03904
3650/30000 PDE Loss: 1.82223, BC Loss: 5.30670,                   mse loss: 7.128932, combined loss: -0.03338
3700/30000 PDE Loss: 1.39331, BC Loss: 3.05893,                   mse loss: 4.452244, combined loss: -0.01320
3750/30000 PDE Loss: 0.03978, BC Loss: 0.22746,                   mse loss: 0.267240, combined loss: -0.02823
3800/30000 PDE Loss: 0.30315, BC Loss: 2.40189,                   mse loss: 2.705044, combined loss: -0.03493
3850/30000 PDE Loss: 0.50924, BC Loss: 3.19925,                   mse loss: 3.708487, combined loss: 0.01453
3900/30000 PDE Loss: 0.07812, BC Loss: 1.10558,                   mse loss: 1.183705, combined loss: -0.01434
